"primary_key","affected_organism_Affected_Organisms"
"DB00125","Humans and other mammals"
"DB00126","Humans and other mammals"
"DB00127","Humans and other mammals"
"DB00128","Humans and other mammals"
"DB00129","Humans and other mammals"
"DB00130","Humans and other mammals"
"DB00131","Humans and other mammals"
"DB00132","Humans and other mammals"
"DB00133","Humans and other mammals"
"DB00134","Humans and other mammals"
"DB00135","Humans and other mammals"
"DB00136","Humans and other mammals"
"DB00137","Humans and other mammals"
"DB00138","Humans and other mammals"
"DB00139","Humans and other mammals"
"DB00140","Humans and other mammals"
"DB00141","Humans and other mammals"
"DB00142","Humans and other mammals"
"DB00143","Humans and other mammals"
"DB00144","Humans and other mammals"
"DB00145","Humans and other mammals"
"DB00146","Humans and other mammals"
"DB00147","Humans and other mammals"
"DB00148","Humans and other mammals"
"DB00149","Humans and other mammals"
"DB00150","Humans and other mammals"
"DB00151","Humans and other mammals"
"DB00152","Humans and other mammals"
"DB00153","Humans and other mammals"
"DB00154","Humans and other mammals"
"DB00155","Humans and other mammals"
"DB00156","Humans and other mammals"
"DB00157","Humans and other mammals"
"DB00158","Humans and other mammals"
"DB00159","Humans and other mammals"
"DB00160","Humans and other mammals"
"DB00161","Humans and other mammals"
"DB00162","Humans and other mammals"
"DB00163","Humans and other mammals"
"DB00165","Humans and other mammals"
"DB00166","Humans and other mammals"
"DB00167","Humans and other mammals"
"DB00168","Humans and other mammals"
"DB00169","Humans and other mammals"
"DB00170","Humans and other mammals"
"DB00171","Humans and other mammals"
"DB00172","Humans and other mammals"
"DB00173","Humans and other mammals"
"DB00174","Humans and other mammals"
"DB00175","Humans and other mammals"
"DB00176","Humans and other mammals"
"DB00177","Humans and other mammals"
"DB00178","Humans and other mammals"
"DB00179","Humans and other mammals"
"DB00180","Humans and other mammals"
"DB00181","Humans and other mammals"
"DB00182","Humans and other mammals"
"DB00183","Humans and other mammals"
"DB00184","Humans and other mammals"
"DB00185","Humans and other mammals"
"DB00186","Humans and other mammals"
"DB00187","Humans and other mammals"
"DB00188","Humans and other mammals"
"DB00189","Humans and other mammals"
"DB00190","Humans and other mammals"
"DB00191","Humans and other mammals"
"DB00192","Humans and other mammals"
"DB00193","Humans and other mammals"
"DB00194","Human Herpes Virus"
"DB00195","Humans and other mammals"
"DB00196","Fungi"
"DB00197","Humans and other mammals"
"DB00198","Influenza A virus"
"DB00198","Influenza B virus"
"DB00199","Enteric bacteria and other eubacteria"
"DB00199","Streptococcus pyogenes"
"DB00199","Haemophilus influenzae"
"DB00199","Staphylococcus aureus"
"DB00200","Humans and other mammals"
"DB00201","Humans and other mammals"
"DB00202","Humans and other mammals"
"DB00203","Humans and other mammals"
"DB00204","Humans and other mammals"
"DB00205","Plasmodium"
"DB00206","Humans and other mammals"
"DB00207","Humans and other mammals"
"DB00208","Humans and other mammals"
"DB00209","Humans and other mammals"
"DB00210","Humans and other mammals"
"DB00211","Humans and other mammals"
"DB00212","Humans and other mammals"
"DB00213","Humans and other mammals"
"DB00214","Humans and other mammals"
"DB00215","Humans and other mammals"
"DB00216","Humans and other mammals"
"DB00217","Humans and other mammals"
"DB00218","Enteric bacteria and other eubacteria"
"DB00219","Humans and other mammals"
"DB00220","Human Immunodeficiency Virus"
"DB00221","Humans and other mammals"
"DB00222","Humans and other mammals"
"DB00223","Humans and other mammals"
"DB00224","Human Immunodeficiency Virus"
"DB00225","Humans and other mammals"
"DB00226","Humans and other mammals"
"DB00227","Humans and other mammals"
"DB00228","Humans and other mammals"
"DB00229","Enteric bacteria and other eubacteria"
"DB00230","Humans and other mammals"
"DB00231","Humans and other mammals"
"DB00232","Humans and other mammals"
"DB00233","Mycobacteria"
"DB00234","Humans and other mammals"
"DB00235","Humans and other mammals"
"DB00236","Humans and other mammals"
"DB00237","Humans and other mammals"
"DB00238","Human Immunodeficiency Virus"
"DB00239","Fungi"
"DB00240","Humans and other mammals"
"DB00241","Humans and other mammals"
"DB00242","Humans and other mammals"
"DB00243","Humans and other mammals"
"DB00244","Humans and other mammals"
"DB00245","Humans and other mammals"
"DB00246","Humans and other mammals"
"DB00247","Humans and other mammals"
"DB00248","Humans and other mammals"
"DB00249","Herpes simplex virus"
"DB00250","Mycobacteria"
"DB00250","Mycobacterium leprae"
"DB00251","Fungi"
"DB00252","Humans and other mammals"
"DB00253","Humans and other mammals"
"DB00254","Humans and other mammals"
"DB00255","Humans and other mammals"
"DB00256","Enteric bacteria and other eubacteria"
"DB00257","Yeast and other fungi"
"DB00258","Humans and other mammals"
"DB00259","Candida albicans and other yeasts"
"DB00260","Enteric bacteria and other eubacteria"
"DB00260","Mycobacterium tuberculosis"
"DB00261","Humans and other mammals"
"DB00262","Humans and other mammals"
"DB00263","Enteric bacteria and other eubacteria"
"DB00264","Humans and other mammals"
"DB00265","Humans and other mammals"
"DB00266","Humans and other mammals"
"DB00267","Enteric bacteria and other eubacteria"
"DB00268","Humans and other mammals"
"DB00269","Humans and other mammals"
"DB00270","Humans and other mammals"
"DB00271","Humans and other mammals"
"DB00272","Humans and other mammals"
"DB00273","Humans and other mammals"
"DB00274","Enteric bacteria and other eubacteria"
"DB00275","Humans and other mammals"
"DB00276","Humans and other mammals"
"DB00277","Humans and other mammals"
"DB00278","Humans and other mammals"
"DB00279","Humans and other mammals"
"DB00280","Humans and other mammals"
"DB00281","Humans and other mammals"
"DB00282","Humans and other mammals"
"DB00283","Humans and other mammals"
"DB00284","Humans and other mammals"
"DB00285","Humans and other mammals"
"DB00286","Humans and other mammals"
"DB00287","Humans and other mammals"
"DB00288","Humans and other mammals"
"DB00289","Humans and other mammals"
"DB00290","Humans and other mammals"
"DB00291","Humans and other mammals"
"DB00292","Humans and other mammals"
"DB00293","Humans and other mammals"
"DB00294","Humans and other mammals"
"DB00295","Humans and other mammals"
"DB00296","Humans and other mammals"
"DB00297","Humans and other mammals"
"DB00298","Humans and other mammals"
"DB00299","Herpes simplex virus"
"DB00300","Human Immunodeficiency Virus"
"DB00301","Enteric bacteria and other eubacteria"
"DB00302","Humans and other mammals"
"DB00303","Enteric bacteria and other eubacteria"
"DB00304","Humans and other mammals"
"DB00305","Humans and other mammals"
"DB00306","Humans and other mammals"
"DB00307","Humans and other mammals"
"DB00308","Humans and other mammals"
"DB00309","Humans and other mammals"
"DB00310","Humans and other mammals"
"DB00311","Humans and other mammals"
"DB00312","Humans and other mammals"
"DB00313","Humans and other mammals"
"DB00314","Enteric bacteria and other eubacteria"
"DB00315","Humans and other mammals"
"DB00316","Humans and other mammals"
"DB00317","Humans and other mammals"
"DB00318","Humans and other mammals"
"DB00319","Enteric bacteria and other eubacteria"
"DB00320","Humans and other mammals"
"DB00321","Humans and other mammals"
"DB00322","Humans and other mammals"
"DB00323","Humans and other mammals"
"DB00324","Humans and other mammals"
"DB00325","Humans and other mammals"
"DB00326","Humans and other mammals"
"DB00327","Humans and other mammals"
"DB00328","Humans and other mammals"
"DB00330","Humans and other mammals"
"DB00330","Mycobacterium tuberculosis"
"DB00331","Humans and other mammals"
"DB00332","Humans and other mammals"
"DB00333","Humans and other mammals"
"DB00334","Humans and other mammals"
"DB00335","Humans and other mammals"
"DB00336","Gram negative and gram positive bacteria"
"DB00337","Humans and other mammals"
"DB00338","Humans and other mammals"
"DB00339","Mycobacterium tuberculosis"
"DB00340","Humans and other mammals"
"DB00341","Humans and other mammals"
"DB00342","Humans and other mammals"
"DB00343","Humans and other mammals"
"DB00344","Humans and other mammals"
"DB00345","Humans and other mammals"
"DB00346","Humans and other mammals"
"DB00347","Humans and other mammals"
"DB00348","Humans and other mammals"
"DB00349","Humans and other mammals"
"DB00350","Humans and other mammals"
"DB00351","Humans and other mammals"
"DB00352","Humans and other mammals"
"DB00353","Humans and other mammals"
"DB00354","Humans and other mammals"
"DB00355","Enteric bacteria and other eubacteria"
"DB00356","Humans and other mammals"
"DB00357","Humans and other mammals"
"DB00358","Plasmodium"
"DB00359","Enteric bacteria and other eubacteria"
"DB00360","Humans and other mammals"
"DB00361","Humans and other mammals"
"DB00362","Candida albicans and other yeasts"
"DB00362","Aspergillis, Candida and other fungi"
"DB00362","Candida parapsilosis"
"DB00362","Coolia tropicalis"
"DB00363","Humans and other mammals"
"DB00364","Humans and other mammals"
"DB00365","Enteric bacteria and other eubacteria"
"DB00365","Streptococcus pneumoniae"
"DB00366","Humans and other mammals"
"DB00367","Humans and other mammals"
"DB00368","Humans and other mammals"
"DB00369","Human Immunodeficiency Virus"
"DB00370","Humans and other mammals"
"DB00371","Humans and other mammals"
"DB00372","Humans and other mammals"
"DB00373","Humans and other mammals"
"DB00374","Humans and other mammals"
"DB00375","Humans and other mammals"
"DB00376","Humans and other mammals"
"DB00377","Humans and other mammals"
"DB00378","Humans and other mammals"
"DB00379","Humans and other mammals"
"DB00380","Humans and other mammals"
"DB00381","Humans and other mammals"
"DB00382","Humans and other mammals"
"DB00383","Humans and other mammals"
"DB00384","Humans and other mammals"
"DB00385","Humans and other mammals"
"DB00387","Humans and other mammals"
"DB00388","Humans and other mammals"
"DB00389","Humans and other mammals"
"DB00390","Humans and other mammals"
"DB00391","Humans and other mammals"
"DB00392","Humans and other mammals"
"DB00393","Humans and other mammals"
"DB00394","Humans and other mammals"
"DB00395","Humans and other mammals"
"DB00396","Humans and other mammals"
"DB00397","Humans and other mammals"
"DB00398","Humans and other mammals"
"DB00399","Humans and other mammals"
"DB00400","Yeast and other Trichophyton or Microsporum fungi"
"DB00400","Dermatophytic fungi including Trichophyton, Microsporum and Epidermophyton"
"DB00401","Humans and other mammals"
"DB00402","Humans and other mammals"
"DB00403","Humans and other mammals"
"DB00404","Humans and other mammals"
"DB00405","Humans and other mammals"
"DB00406","Yeast and other fungi"
"DB00406","Bacteria and protozoa"
"DB00407","Humans and other mammals"
"DB00408","Humans and other mammals"
"DB00409","Humans and other mammals"
"DB00410","Enteric bacteria and other eubacteria"
"DB00410","Streptococcus pyogenes"
"DB00410","Staphylococcus aureus"
"DB00411","Humans and other mammals"
"DB00412","Humans and other mammals"
"DB00413","Humans and other mammals"
"DB00414","Humans and other mammals"
"DB00415","Enteric bacteria and other eubacteria"
"DB00415","Gram-negative Bacteria"
"DB00415","Gram-positive Bacteria"
"DB00415","Streptococcus pyogenes"
"DB00415","Streptococcus pneumoniae"
"DB00415","Neisseria meningitidis"
"DB00415","Listeria monocytogenes"
"DB00415","Haemophilus influenzae"
"DB00416","Humans and other mammals"
"DB00417","Bacteria"
"DB00417","Gram-negative Bacteria"
"DB00417","Bacillus anthracis"
"DB00417","Corynebacterium diphtheriae"
"DB00417","Streptococcus pyogenes"
"DB00417","Leptospira interrogans"
"DB00417","Listeria monocytogenes"
"DB00417","Borrelia burgdorferi"
"DB00417","Neisseria gonorrhoeae"
"DB00417","Clostridium"
"DB00418","Humans and other mammals"
"DB00419","Humans and other mammals"
"DB00420","Humans and other mammals"
"DB00421","Humans and other mammals"
"DB00422","Humans and other mammals"
"DB00423","Humans and other mammals"
"DB00424","Humans and other mammals"
"DB00425","Humans and other mammals"
"DB00426","Human Herpes Virus"
"DB00427","Humans and other mammals"
"DB00428","Humans and other mammals"
"DB00429","Humans and other mammals"
"DB00430","Enteric bacteria and other eubacteria"
"DB00431","Scabies (Sarcoptes scabei) and other insects"
"DB00432","Human Herpes Virus"
"DB00433","Humans and other mammals"
"DB00434","Humans and other mammals"
"DB00435","Humans and other mammals"
"DB00436","Humans and other mammals"
"DB00437","Humans and other mammals"
"DB00438","Enteric bacteria and other eubacteria"
"DB00439","Humans and other mammals"
"DB00440","Gram negative and gram positive bacteria"
"DB00440","Listeria monocytogenes"
"DB00440","Escherichia coli"
"DB00441","Humans and other mammals"
"DB00442","Hepatitis B virus"
"DB00443","Humans and other mammals"
"DB00444","Humans and other mammals"
"DB00445","Humans and other mammals"
"DB00446","Enteric bacteria and other eubacteria"
"DB00446","Gram negative and gram positive bacteria"
"DB00446","Streptococcus pneumoniae"
"DB00446","Neisseria meningitidis"
"DB00446","Haemophilus influenzae"
"DB00446","Enterococcus faecium"
"DB00447","Various gram-negative and gram-positive eubacteria"
"DB00447","Streptococcus pyogenes"
"DB00447","Streptococcus pneumoniae"
"DB00447","Haemophilus influenzae"
"DB00447","Escherichia coli"
"DB00447","Staphylococcus aureus"
"DB00448","Humans and other mammals"
"DB00449","Humans and other mammals"
"DB00450","Humans and other mammals"
"DB00451","Humans and other mammals"
"DB00452","Enteric bacteria and other eubacteria"
"DB00453","Enteric bacteria and other eubacteria"
"DB00454","Humans and other mammals"
"DB00455","Humans and other mammals"
"DB00456","Enteric bacteria and other eubacteria"
"DB00457","Humans and other mammals"
"DB00458","Humans and other mammals"
"DB00459","Humans and other mammals"
"DB00460","Humans and other mammals"
"DB00461","Humans and other mammals"
"DB00462","Humans and other mammals"
"DB00463","Humans and other mammals"
"DB00464","Humans and other mammals"
"DB00465","Humans and other mammals"
"DB00466","Humans and other mammals"
"DB00467","Enteric bacteria and other eubacteria"
"DB00468","Humans and other mammals"
"DB00469","Humans and other mammals"
"DB00470","Humans and other mammals"
"DB00471","Humans and other mammals"
"DB00472","Humans and other mammals"
"DB00473","Humans and other mammals"
"DB00474","Humans and other mammals"
"DB00475","Humans and other mammals"
"DB00476","Humans and other mammals"
"DB00477","Humans and other mammals"
"DB00478","Human Influenza A Virus"
"DB00479","Humans and other mammals"
"DB00479","Enteric bacteria and other eubacteria"
"DB00480","Humans and other mammals"
"DB00481","Humans and other mammals"
"DB00482","Humans and other mammals"
"DB00483","Humans and other mammals"
"DB00484","Humans and other mammals"
"DB00485","Enteric bacteria and other eubacteria"
"DB00486","Humans and other mammals"
"DB00487","Enteric bacteria and other eubacteria"
"DB00488","Humans and other mammals"
"DB00489","Humans and other mammals"
"DB00490","Humans and other mammals"
"DB00491","Humans and other mammals"
"DB00492","Humans and other mammals"
"DB00493","Enteric bacteria and other eubacteria"
"DB00493","Neisseria meningitidis"
"DB00493","Haemophilus influenzae"
"DB00493","Neisseria gonorrhoeae"
"DB00493","Escherichia coli"
"DB00493","Salmonella typhi"
"DB00494","Humans and other mammals"
"DB00495","Human Immunodeficiency Virus"
"DB00496","Humans and other mammals"
"DB00497","Humans and other mammals"
"DB00498","Humans and other mammals"
"DB00499","Humans and other mammals"
"DB00500","Humans and other mammals"
"DB00501","Humans and other mammals"
"DB00502","Humans and other mammals"
"DB00503","Human Immunodeficiency Virus"
"DB00504","Humans and other mammals"
"DB00505","Humans and other mammals"
"DB00507","Mycobacterium tuberculosis"
"DB00507","Helminthic Microorganisms"
"DB00507","Bacteria and protozoa"
"DB00507","Escherichia coli"
"DB00508","Humans and other mammals"
"DB00509","Humans and other mammals"
"DB00511","Humans and other mammals"
"DB00512","Enteric bacteria and other eubacteria"
"DB00512","Corynebacterium diphtheriae"
"DB00512","Treponema pallidum"
"DB00512","Streptococcus pyogenes"
"DB00512","Chlamydia pneumoniae"
"DB00512","Chlamydia trachomatis"
"DB00512","Mycoplasma pneumoniae"
"DB00512","Neisseria gonorrhoeae"
"DB00512","Legionella pneumophila"
"DB00512","Chlamydia psittaci"
"DB00512","Bordetella pertussis"
"DB00513","Humans and other mammals"
"DB00514","Humans and other mammals"
"DB00515","Humans and other mammals"
"DB00516","Humans and other mammals"
"DB00517","Humans and other mammals"
"DB00518","Helminthic Microorganisms"
"DB00519","Humans and other mammals"
"DB00520","Aspergillis, Candida and other fungi"
"DB00521","Humans and other mammals"
"DB00522","Humans and other mammals"
"DB00523","Humans and other mammals"
"DB00524","Humans and other mammals"
"DB00525","Yeast and other fungi"
"DB00526","Humans and other mammals"
"DB00527","Humans and other mammals"
"DB00528","Humans and other mammals"
"DB00529","Human Herpes Virus"
"DB00530","Humans and other mammals"
"DB00531","Humans and other mammals"
"DB00532","Humans and other mammals"
"DB00533","Humans and other mammals"
"DB00534","Humans and other mammals"
"DB00535","Enteric gram-negative rods"
"DB00536","Humans and other mammals"
"DB00537","Enteric bacteria and other eubacteria"
"DB00538","Humans and other mammals"
"DB00539","Humans and other mammals"
"DB00540","Humans and other mammals"
"DB00541","Humans and other mammals"
"DB00542","Humans and other mammals"
"DB00543","Humans and other mammals"
"DB00544","Humans and other mammals"
"DB00545","Humans and other mammals"
"DB00546","Humans and other mammals"
"DB00547","Humans and other mammals"
"DB00548","Various aerobic and anaerobic microorganisms"
"DB00549","Humans and other mammals"
"DB00550","Humans and other mammals"
"DB00551","Enteric bacteria and other eubacteria"
"DB00552","Humans and other mammals"
"DB00552","Mycobacterium tuberculosis"
"DB00552","Pseudomonas aeruginosa"
"DB00552","Leptospira interrogans"
"DB00552","Borrelia burgdorferi"
"DB00552","Vibrio cholerae"
"DB00552","Escherichia coli"
"DB00552","Salmonella typhi"
"DB00552","Staphylococcus aureus"
"DB00552","Serratia marcescens"
"DB00552","Proteus vulgaris"
"DB00552","Klebsiella"
"DB00552","Shigella"
"DB00553","Humans and other mammals"
"DB00554","Humans and other mammals"
"DB00555","Humans and other mammals"
"DB00556","Humans and other mammals"
"DB00557","Humans and other mammals"
"DB00558","Influenza A virus"
"DB00558","Influenza B virus"
"DB00559","Humans and other mammals"
"DB00560","Enteric bacteria and other eubacteria"
"DB00561","Humans and other mammals"
"DB00562","Humans and other mammals"
"DB00563","Humans and other mammals"
"DB00564","Humans and other mammals"
"DB00565","Humans and other mammals"
"DB00566","Humans and other mammals"
"DB00567","Enteric bacteria and other eubacteria"
"DB00568","Humans and other mammals"
"DB00569","Humans and other mammals"
"DB00570","Humans and other mammals"
"DB00571","Humans and other mammals"
"DB00572","Humans and other mammals"
"DB00573","Humans and other mammals"
"DB00574","Humans and other mammals"
"DB00575","Humans and other mammals"
"DB00576","Enteric bacteria and other eubacteria"
"DB00577","Humans and other mammals"
"DB00577","Herpes simplex virus"
"DB00578","Enteric bacteria and other eubacteria"
"DB00578","Gram-negative Bacteria"
"DB00578","Pseudomonas aeruginosa"
"DB00578","Escherichia coli"
"DB00578","Proteus mirabilis"
"DB00579","Humans and other mammals"
"DB00580","Humans and other mammals"
"DB00581","Humans and other mammals"
"DB00582","Yeast and other fungi"
"DB00583","Humans and other mammals"
"DB00584","Humans and other mammals"
"DB00585","Humans and other mammals"
"DB00586","Humans and other mammals"
"DB00587","Humans and other mammals"
"DB00588","Humans and other mammals"
"DB00589","Humans and other mammals"
"DB00590","Humans and other mammals"
"DB00591","Humans and other mammals"
"DB00592","Parasitic nematodes and other roundworms"
"DB00593","Humans and other mammals"
"DB00594","Humans and other mammals"
"DB00595","Enteric bacteria and other eubacteria"
"DB00596","Humans and other mammals"
"DB00597","Humans and other mammals"
"DB00598","Humans and other mammals"
"DB00599","Humans and other mammals"
"DB00600","Humans and other mammals"
"DB00601","Gram negative and gram positive bacteria"
"DB00602","Parasitic nematodes and other roundworms"
"DB00602","Head lice"
"DB00603","Humans and other mammals"
"DB00604","Humans and other mammals"
"DB00605","Humans and other mammals"
"DB00606","Humans and other mammals"
"DB00607","Enteric bacteria and other eubacteria"
"DB00607","Staphylococcus aureus"
"DB00608","Plasmodium"
"DB00609","Mycobacteria"
"DB00610","Humans and other mammals"
"DB00611","Humans and other mammals"
"DB00612","Humans and other mammals"
"DB00613","Plasmodium"
"DB00614","Microbes (bacteria, parasites)"
"DB00615","Enteric bacteria and other eubacteria"
"DB00615","Mycobacterium tuberculosis"
"DB00615","Mycobacterium leprae"
"DB00615","Mycobacterium avium"
"DB00616","Humans and other mammals"
"DB00617","Humans and other mammals"
"DB00618","Enteric bacteria and other eubacteria"
"DB00619","Humans and other mammals"
"DB00620","Humans and other mammals"
"DB00621","Humans and other mammals"
"DB00622","Humans and other mammals"
"DB00623","Humans and other mammals"
"DB00624","Humans and other mammals"
"DB00625","Human Immunodeficiency Virus"
"DB00626","Enteric bacteria and other eubacteria"
"DB00627","Humans and other mammals"
"DB00628","Humans and other mammals"
"DB00629","Humans and other mammals"
"DB00630","Humans and other mammals"
"DB00631","Humans and other mammals"
"DB00632","Herpes simplex virus"
"DB00633","Humans and other mammals"
"DB00634","Enteric bacteria and other eubacteria"
"DB00635","Humans and other mammals"
"DB00636","Humans and other mammals"
"DB00637","Humans and other mammals"
"DB00638","Humans and other mammals"
"DB00639","Fungi, yeast and protozoans"
"DB00640","Humans and other mammals"
"DB00641","Humans and other mammals"
"DB00642","Humans and other mammals"
"DB00643","Helminthic Microorganisms"
"DB00644","Humans and other mammals"
"DB00645","Humans and other mammals"
"DB00646","Fungi"
"DB00647","Humans and other mammals"
"DB00648","Humans and other mammals"
"DB00649","Human Immunodeficiency Virus"
"DB00650","Humans and other mammals"
"DB00651","Humans and other mammals"
"DB00652","Humans and other mammals"
"DB00653","Humans and other mammals"
"DB00654","Humans and other mammals"
"DB00655","Humans and other mammals"
"DB00656","Humans and other mammals"
"DB00657","Humans and other mammals"
"DB00658","Humans and other mammals"
"DB00659","Humans and other mammals"
"DB00660","Humans and other mammals"
"DB00661","Humans and other mammals"
"DB00662","Humans and other mammals"
"DB00663","Humans and other mammals"
"DB00664","Gram negative, positive bacteria and plasmodium"
"DB00665","Humans and other mammals"
"DB00666","Humans and other mammals"
"DB00668","Humans and other mammals"
"DB00669","Humans and other mammals"
"DB00670","Humans and other mammals"
"DB00671","Enteric bacteria and other eubacteria"
"DB00672","Humans and other mammals"
"DB00673","Humans and other mammals"
"DB00674","Humans and other mammals"
"DB00675","Humans and other mammals"
"DB00676","Sarcoptes scabiei"
"DB00677","Humans and other mammals"
"DB00678","Humans and other mammals"
"DB00679","Humans and other mammals"
"DB00680","Humans and other mammals"
"DB00681","Various Fungus Species"
"DB00682","Humans and other mammals"
"DB00683","Humans and other mammals"
"DB00684","Enteric bacteria and other eubacteria"
"DB00685","Enteric bacteria and other eubacteria"
"DB00686","Humans and other mammals"
"DB00687","Humans and other mammals"
"DB00688","Humans and other mammals"
"DB00689","Enteric bacteria and other eubacteria"
"DB00690","Humans and other mammals"
"DB00691","Humans and other mammals"
"DB00692","Humans and other mammals"
"DB00693","Humans and other mammals"
"DB00694","Humans and other mammals"
"DB00695","Humans and other mammals"
"DB00696","Humans and other mammals"
"DB00697","Humans and other mammals"
"DB00698","Gram negative and gram positive bacteria"
"DB00699","Humans and other mammals"
"DB00700","Humans and other mammals"
"DB00701","Human Immunodeficiency Virus"
"DB00702","Humans and other mammals"
"DB00703","Humans and other mammals"
"DB00704","Humans and other mammals"
"DB00705","Human Immunodeficiency Virus"
"DB00706","Humans and other mammals"
"DB00707","Humans and other mammals"
"DB00708","Humans and other mammals"
"DB00709","Human Immunodeficiency Virus"
"DB00709","Hepatitis B virus"
"DB00710","Humans and other mammals"
"DB00711","Humans and other mammals"
"DB00711","Parasitic nematodes and other roundworms"
"DB00712","Humans and other mammals"
"DB00713","Enteric bacteria and other eubacteria"
"DB00713","Staphylococcus aureus"
"DB00714","Humans and other mammals"
"DB00715","Humans and other mammals"
"DB00716","Humans and other mammals"
"DB00717","Humans and other mammals"
"DB00718","Hepatitis B virus"
"DB00719","Humans and other mammals"
"DB00720","Humans and other mammals"
"DB00721","Humans and other mammals"
"DB00722","Humans and other mammals"
"DB00723","Humans and other mammals"
"DB00724","Humans and other mammals"
"DB00725","Humans and other mammals"
"DB00726","Humans and other mammals"
"DB00727","Humans and other mammals"
"DB00728","Humans and other mammals"
"DB00730","Roundworms, hookworms, and other helminth species"
"DB00731","Humans and other mammals"
"DB00732","Humans and other mammals"
"DB00733","Humans and other mammals"
"DB00734","Humans and other mammals"
"DB00735","Yeast and other fungi"
"DB00736","Humans and other mammals"
"DB00737","Humans and other mammals"
"DB00738","Pneumocystis carinii"
"DB00739","Enteric bacteria and other eubacteria"
"DB00740","Humans and other mammals"
"DB00741","Humans and other mammals"
"DB00742","Humans and other mammals"
"DB00743","Humans and other mammals"
"DB00744","Humans and other mammals"
"DB00745","Humans and other mammals"
"DB00746","Humans and other mammals"
