primary_key,name,indication,symptoms
DB00017,Salmon Calcitonin,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.","['Calcitonin (Salmon Synthetic)', 'Calcitonin Salmon', 'Calcitonin salmon recombinant', 'Calcitonin-salmon', 'Calcitonin, salmon', 'Recombinant salmon calcitonin', 'Salmon calcitonin']"
DB00018,Interferon alfa-n3,For the intralesional treatment of refractory or recurring external condylomata acuminata.,
DB00019,Pegfilgrastim,Pegfilgrastim is indicated for use in patients receiving myelosuppressive chemotherapy for non-myeloid malignancies to reduce the incidence of infection. It is also indicated to increase in patients with acute myelosuppresive radiation exposure.,"['Granulocyte colony-stimulating factor pegfilgrastim', 'Peg-filgrastim', 'pegfilgrastim-cbqv', 'pegfilgrastim-jmdb']"
DB00020,Sargramostim,For the treatment of cancer and bone marrow transplant,"['Recombinant human granulocyte-macrophage colony stimulating factor', 'rGM-CSF', 'rHu GM-CSF', 'Sargramostim']"
DB00022,Peginterferon alfa-2b,"Peginterferon alfa-2b is indicated for the treatment of HCV in combination with [DB00811] and a NS3/4A protease inhibitor for genotype 1 or without a NS3/4A protease inhibitor for genotypes 2-6 [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.
",
DB00023,Asparaginase Escherichia coli,Indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL) [FDA Label].,"['Asparaginase', 'Asparaginase (E. coli)', 'Colaspase', 'Escherichia coli L-asparaginase', 'L-asparaginase', 'L-asparagine amidohydrolase']"
DB00024,Thyrotropin alfa,For detection of residueal or recurrent thyroid cancer,"['Recombinant Human Thyroid Stimulating Hormone', 'Recombinant thyrotropin alfa', 'rhTSH', 'rTSH', 'Thyrotropin alpha']"
DB00025,"Antihemophilic factor, human recombinant","For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency.","['Antihemophilic factor (recombinant)', 'Antihemophilic factor recombinant', 'Antihemophilic factor, human recombinant', 'Antihemophilic factor, recombinant', 'Factor VIII (rDNA)', 'Factor VIII (Recombinant)', 'Factor VIII recombin', 'Factor VIII, recombinant', 'Human Factor VIII (Recombinant)', 'Human factor VIII recombinant', 'Octocog alfa', 'rAHF', 'Recombinant antihemophilic factor VIII']"
DB00026,Anakinra,For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID).,"['Anakinra', 'IL-1RA', 'Interleukin-1 receptor antagonist anakinra']"
DB00027,Gramicidin D,"For treatment of skin lesions, surface wounds and eye infections.","['Bacillus brevis gramicidin D', 'Gramicidin', 'Gramicidin A', 'Gramicidin B', 'Gramicidin C', 'Gramicidine']"
DB00028,Immune Globulin Human,"IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barré syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, WiskottAldrich syndrome and inflammatory skin diseases.","['Human IGG', 'Human Immunoglobulin G', 'Human Normal Immunoglobulin', 'Immune globulin (human)', 'Immune Globulin Intravenous', 'Immune Globulin Subcutaneous', 'Immunoglobulin G (human)', 'Immunoglobulin G, Human', 'Intravenous Immunoglobulin', 'IVIg']"
DB00029,Anistreplase,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction","['Anisoylated plasminogen streptokinase activator complex', 'APSAC']"
DB00030,Insulin Human,Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,"['High molecular weight insulin human', 'Human insulin', 'human insulin (rDNA)', 'Insulin (human)', 'Insulin human [rDNA origin]', 'Insulin Human Regular', 'Insulin human regular (rDNA)', 'Insulin human, rDNA origin', 'Insulin recombinant human', 'Insulin recombinant purified human', 'Insulin regular', 'Insulin, human', 'Regular Insulin, human']"
DB00031,Tenecteplase,For treatment of myocardial infarction and lysis of intracoronary emboli,['TNK-tPA']
DB00032,Menotropins,For the treatment of female infertility,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropins (FSH;LH)']"
DB00033,Interferon gamma-1b,Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.,"['IFN-gamma 1b', 'IFN-gamma-1b', 'Interferon Gamma 1-b', 'Interferon Gamma-1b', 'Interferon gamma-1b, recombinant', 'Interferon gamma-2a']"
DB00034,"Interferon Alfa-2a, Recombinant","For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.","['Interferon alfa-2a', 'Interferon alfa-2a (recombinant)', 'Interferon alfa-2a, recombinant', 'Interferon alfa-2a,recombinant', 'Interferon alpha-2a', 'Interferon-alfa-2a', 'Recombinant human interferon alfa-2a', 'Recombinant human interferon-alfa-2a', 'rIFN-alpha-2a', 'SH-polypeptide-46']"
DB00035,Desmopressin,"- Indicated for the treatment of nocturia due to nocturnal polyuria in adults who awaken at least 2 times per night to void (intranasal). 

- Indicated as antidiuretic replacement therapy in the management of central cranial diabetes insipidus and for management of the temporary polyuria and polydipsia following head trauma or surgery in the pituitary region (intranasal/parenteral).

- Indicated for patients with hemophilia A with factor VIII coagulant activity levels greater than 5% or mild to moderate classic von Willebrand's Disease (Type I) with factor VIII levels greater than 5% during surgical procedures and postoperatively to maintain hemostasis (parenteral).","['1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin', '1-deamino-8-D-arginine vasopressin', '1-desamino-8-D-arginine vasopressin', 'dDAVP', 'Desmopressin']"
DB00036,Coagulation factor VIIa Recombinant Human,For treatment of hemorrhagic complications in hemophilia A and B,"['Coagulation factor VIIa', 'Coagulation factor VIIa (recombinant)', 'Eptacog alfa', 'Eptacog alfa (activated)', 'rFVIIa']"
DB00038,Oprelvekin,Indicated for the prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in adult patients with nonmyeloid malignancies who are at high risk of severe thrombocytopenia.[Label],"['IL-11', 'Interleukin 11', 'Interleukin-11', 'Oprelvekin', 'Recombinant interleukin-11']"
DB00039,Palifermin,For treatment of oral mucositis associated with chemotherapy and radiation therapy.,['24-163 fibroblast growth factor 7 (human)']
DB00040,Glucagon,"For treatment of severe hypoglycemia, also used in gastrointestinal imaging","['Glucagon', 'Glucagon (recombinant dna origin)', 'Glucagon recombinant', 'Glucagon, human', 'Glucagon, porcine', 'Glucagone']"
DB00041,Aldesleukin,For treatment of adults with metastatic renal cell carcinoma.,"['125-L-serine-2-133-interleukin 2 (human reduced)', 'Interleukin-2 aldesleukin', 'Interleukin-2(2-133),125-ser', 'Recombinant interleukin-2 human']"
DB00042,Botulinum Toxin Type B,For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.,"['Botulin B', 'Botulinum B toxin', 'Botulinum neurotoxin type B precursor', 'BTX-B', 'RimabotulinumtoxinB']"
DB00043,Omalizumab,"This drug is an anti-IgE antibody indicated for:

1. Moderate to severe persistent asthma in patients 6 years of age and older
with a positive skin test or in vitro reactivity to a perennial aeroallergen and symptoms that are inadequately controlled with inhaled corticosteroids [FDA label]

2. Chronic idiopathic urticaria in adults and adolescents 12 years of age and older who remain symptomatic despite H1 antihistamine treatment [FDA label]",
DB00044,Lutropin alfa,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L),"['Lutropin alfa', 'Lutropin alpha']"
DB00045,Lyme disease vaccine (recombinant OspA),For prophylactic treatment of Lyme Disease,"['Lipoprotein OspA antigen recombinant', 'Lipoprotein outer surface a borrelia burgdorferi antigen', 'OspA lipoprotein']"
DB00046,Insulin Lispro,Insulin lispro is indicated to improve glycemic control in adults and children with diabetes mellitus.,"['Insulin lispro (genetical recombination)', 'Insulin lispro (rDNA origin)', 'Insulin lispro protamine', 'Insulin lispro protamine recombinant', 'Insulin lispro recombinant', 'Insulin,lispro,human/rDNA', 'Insulin,lispro,protamine/rDNA']"
DB00047,Insulin glargine,Insulin glargine is indicated to improve glycemic control in adults and pediatric patients with type 1 diabetes mellitus and in adults with type 2 diabetes mellitus.,"['Insulin glargine', 'Insulin Glargine (rDNA origin)', 'Insulin glargine recombinant']"
DB00048,Collagenase clostridium histolyticum,Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.,"['Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum']"
DB00049,Rasburicase,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)","['Rasburicase', 'Urate oxidase']"
DB00050,Cetrorelix,For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation,['Cetrorelix']
DB00051,Adalimumab,"The following are conditions for which adalimumab has been indicated [F2118], [FDA label], [L4805], [A40001], [A40002], [L4806]. 

Rheumatoid Arthritis (Moderate to Severe)

Juvenile Idiopathic Arthritis (Moderately to Severely Active)

Psoriatic Arthritis (Active)

Ankylosing Spondylitis (Active)

Crohns Disease (Moderately to Severely Active)

Ulcerative Colitis (Moderately to Severely Active)

Plaque Psoriasis (Moderate to Severe Chronic)

Non-infectious Intermediate, Posterior and Panuveitis

Hidradenitis Suppurativa (Moderate to Severe)

Pyoderma Gangrenosum (off-label)
","['Adalimumab (genetical recombination)', 'adalimumab-adaz', 'adalimumab-adbm', 'adalimumab-atto']"
DB00052,Somatotropin,"For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss","['Growth hormone', 'Growth hormone (human)', 'hGH', 'Human growth hormone', 'Recombinant human growth hormone', 'rhGH', 'Somatotropin (human)', 'Somatotropin human', 'Somatotropin human growth hormone', 'Somatropin', 'Somatropin (rDNA origin)', 'Somatropin (recombinant DNA origin)', 'Somatropin [rDNA origin]', 'Somatropin recombinant', 'Somatropin(recombinant DNA origin)']"
DB00053,Imiglucerase,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),
DB00054,Abciximab,Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.,"['Abciximab', 'Abciximab (genetical recombination)', 'c7E3']"
DB00055,Drotrecogin alfa,For reduction of mortality in patients with severe sepsis.,"['Activated protein C', 'Blood coagulation factor XIV (human)', 'Drotrecogin alfa (activated)', 'Drotrecogin alfa (activated), lyophilized', 'Drotrecogin alfa activated', 'Drotrecogin alfa, activated', 'Drotrecogin-alfa', 'Recombinant human activated protein C (rH-APC)']"
DB00056,Gemtuzumab ozogamicin,Indicated for the treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy. Indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory).,
DB00057,Indium In-111 satumomab pendetide,For diagnosis of extrahepatic malignant cancers,"['Indium (111In) satumomab pendetide', 'Indium In 111 satumomab pendetide', 'Indium-111 satumomab pendetide']"
DB00058,Alpha-1-proteinase inhibitor,For chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibitor (A1-PI) deficiency and clinical evidence of emphysema.,"['Alfa1 antitrypsin', 'Alpha 1-antitrypsin', 'Alpha 1-Proteinase Inhibitor', 'Alpha 1-proteinase inhibitor (human)', 'Alpha 1-proteinase inhibitor, human', 'Alpha-1 protease inhibitor', 'Alpha-1 proteinase inhibitor (human)', 'Alpha-1-antiproteinase', 'Alpha-1-antitrypsin', 'Alpha-1-proteinase Inhibitor (human)', 'Alpha-1-proteinase inhibitor human', 'Alpha-1-proteinase Inhibitor, Human', 'Alpha-1-proteinase inhibitor,human', 'Alpha1-proteinase Inhibitor', 'Alpha1-proteinase inhibitor (human)', 'alpha1-proteinase inhibitor human', 'API']"
DB00059,Pegaspargase,For treatment of acute lymphoblastic leukemia,"['Peg-asparaginase', 'Peg/L-asparaginase']"
DB00060,Interferon beta-1a,"For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum","['Interferon beta 1-a', 'Interferon beta 1a', 'Interferon beta-1a (recombinant human)', 'Interferon beta-1a,recombinant', 'Interferon-beta-1a']"
DB00061,Pegademase,For treatment of adenosine deaminase deficiency,"['(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase', 'PEG-adenosine deaminase', 'pegADA', 'Pegademase', 'Pegademase bovine']"
DB00062,Human Serum Albumin,"Albuminex solution is indicated for adults and children for hypovolemia, ascites, hypoalbuminemia including from burns, acute nephrosis, acute respiratory distress syndrome and cardipulmonary bypass [F229].","['Albumin (human)', 'Albumin human', 'Albumin, blood', 'Albumin, human', 'Albumin, human-kjda', 'Human albumin', 'Serum albumin']"
DB00063,Eptifibatide,For treatment of myocardial infarction and acute coronary syndrome.,"['Eptifibatide', 'Integrelin', 'Intrifiban']"
DB00065,Infliximab,"* Indicated for reducing signs and symptoms and inducing and maintaining clinical remission in adult or pediatric (= 6 years of age) patients with moderately to severely active **Crohns disease** who have had an inadequate response to conventional therapy
* Indicated for reducing the number of draining enterocutaneous and rectovaginal fistulas and maintaining fistula closure in adult patients with fistulizing **Crohns disease**. 
* Indicated for reducing signs and symptoms, inducing and maintaining clinical remission and mucosal healing, and eliminating corticosteroid use in adult or pediatric (= 6 years of age) patients with moderately to severely active **ulcerative colitis** who have had an inadequate response to conventional therapy. 
* Indicated for, in combination with methotrexate, reducing signs and symptoms, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active **rheumatoid arthritis**. 
* Indicated for reducing signs and symptoms in patients with active **ankylosing spondylitis**. 
* Indicated for reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function in patients with **psoriatic arthritis**. 
* Indicated for the treatment of adult patients with chronic severe (i.e., extensive and/or disabling) **plaque psoriasis** who are candidates for systemic therapy and when other systemic therapies are medically less appropriate.","['Infliximab (genetical recombination)', 'Infliximab-abda', 'Infliximab-dyyb', 'Infliximab-qbtx']"
DB00066,Follitropin,"In women having been diagnosed with primary ovarian failure, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. In men with hypogonadotrophic hypogonadism, it is used to induce spermatogenesis. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF).","['Follicle stimulating hormone', 'Follitrophin alfa', 'Follitrophin alpha', 'Follitrophin beta', 'Follitropin alfa', 'Follitropin alfa/beta', 'Follitropin alpha', 'Follitropin beta', 'Follitropin delta', 'Follitropin gamma', 'Follotropin recombinant', 'FSH', 'FSH alpha', 'FSH-a', 'FSH-b', 'FSH-beta', 'Recombinant human follicle stimulating hormone beta', 'Recombinant human follicle-stimulating hormone (r-HFSH)', 'rFSH-alpha']"
DB00067,Vasopressin,"For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding","['Vasopressin, unspecified']"
DB00068,Interferon beta-1b,Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.,"['Interferon beta 1b (recombinant)', 'Interferon beta-1b,recombinant', 'Interferon-beta-1b', 'Recombinant interferon beta-1b']"
DB00069,Interferon alfacon-1,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma","['IFN Alfacon-1', 'IFN-Con1', 'Interferon alfacon-1']"
DB00070,Hyaluronidase (ovine),For increase of absorption and distribution of other injected drugs and for rehydration.,"['Hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'Hyaluronidase (ovine)', 'Hyaluronidase (sheep testis isoenzyme)', 'Hyaluronidase, ovine', 'Ovine hyaluronidase']"
DB00071,Insulin Pork,For the treatment of type I and II diabetes mellitus.,"['Insulin (pork)', 'Insulin porcine', 'Insulin purified porcine', 'Insulin purified pork', 'Insulin, porcine', 'Insulin, regular, pork', 'Porcine insulin']"
DB00072,Trastuzumab,"Indicated for treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2. The intravenous powder for solution, OGIVRI, is approved in Canada for early breast cancer, metastatic breast cancer, and gastric cancer, provided these cancers overexpress HER2[L6214].","['RHUMAB HER2', 'trastuzumab-anns', 'trastuzumab-dkst', 'trastuzumab-dttb', 'trastuzumab-pkrb', 'trastuzumab-qyyp']"
DB00073,Rituximab,"Rituximab is indicated in the following conditions [FDA label]:

**NonHodgkins Lymphoma (NHL)**

**Chronic Lymphocytic Leukemia (CLL)**

**Rheumatoid Arthritis (RA) in combination with methotrexate in adult patients with moderately-to severely-active RA**

**Granulomatosis with Polyangiitis (GPA) (Wegeners Granulomatosis) and Microscopic Polyangiitis (MPA)**

**Moderate to severe Pemphigus Vulgaris (PV) in adult patients**

The biosimilar (approved in November 2018), _Truxima_, is indicated For the treatment of adult patients with CD20-positive, B-cell non-Hodgkins lymphoma (NHL) to be used as a single agent or in combination with chemotherapy [L4808].",['rituximab-abbs']
DB00074,Basiliximab,For prophylactic treatment of kidney transplant rejection,['Basiliximab']
DB00075,Muromonab,"For treatment of organ transplant recipients, prevention of organ rejection","['Anti-CD3', 'Muromonab-CD3']"
DB00076,Digoxin Immune Fab (Ovine),For treatment of digitoxin overdose or digitalis glycoside toxicity.,"['Digitalis antitoxin', 'Digoxin Immune Fab, Ovine', 'Digoxin-specific Antibody Fragments', 'Ovine digoxin immune fab']"
DB00078,Ibritumomab tiuxetan,For treatment of non-Hodgkin's lymphoma,"['Ibritumomab', 'mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)']"
DB00080,Daptomycin,For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.,['Daptomycin']
DB00081,Tositumomab,"For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)",
DB00082,Pegvisomant,Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.,
DB00083,Botulinum toxin type A,"For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.","['AbobotulinumtoxinA', 'Botulinum A neurotoxin', 'Botulinum toxin A', 'Botulinum toxin type A', 'BTX-A', 'Evabotulinumtoxina', 'IncobotulinumtoxinA', 'OnabotulinumtoxinA', 'Prabotulinumtoxin A']"
DB00085,Pancrelipase,"The use of pancrelipase amylase is part of the pancreatic enzyme replacement therapy. This therapy is indicated for the treatment of pancreatic insufficiency attributed to cystic fibrosis, chronic pancreatitis or any other medically defined pancreatic disease that might require it.[A32721, A32736] Pancreatic diseases are associated with the deterioration of pancreatic parenchyma and of the dual physiological functions of the pancreas. Once established, pancreatic insufficiency results in malnutrition, weight loss, and steatorrhea.[A32723]","['Pancrealipase', 'Pancreatic extract pancrelipase', 'Pancreatic protease', 'Pancreatin', 'Pancrelipase (amylase;lipase;protease)']"
DB00086,Streptokinase,"For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae","['Streptococcal fibrinolysin', 'Streptokinase']"
DB00087,Alemtuzumab,Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.,
DB00088,Alglucerase,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),
DB00089,Capromab pendetide,For diagnosis of prostate cancer and detection of intra-pelvic metastases.,"['(111In)-Capromab pendetide', 'Indium (111In) capromab pendetide', 'Indium 111 Capromab Pendetide', 'Indium In 111 capromab pendetide']"
DB00090,Laronidase,For the treatment of mucopolysaccharidosis,"['alpha-L-Idosiduronase', 'Human Recombinant alpha-L-iduronidase', 'Laronidase', 'Laronidase (genetical recombination)']"
DB00091,Ciclosporin,"Cyclosporine is officially approved for different conditions listed below:

* Prophylaxis of organ rejection in kidney, liver, and heart allogeneic transplants. For this indication, it can be used concomitantly with azathioprine and corticosteroids.

* Treatment of patients with severe active, rheumatoid arthritis when the patient no longer responds to methotrexate. 

* Concomitantly with methotrexate for the treatment of patients with severe active rheumatoid arthritis when patients do not respond to methotrexate treatment alone.

* Treatment of adult nonimmunocompromised patients with severe, recalcitrant, plaque psoriasis that have failed to respond to at least one systemic therapy or when systemic therapies are not tolerated or contraindicated.[FDA label]

* Its ophthalmic solution is indicated to increase tear production in patients with keratoconjunctivitis sicca in patients from 4 years old.[L5158]

* Prevention of graft rejection following bone marrow transplantation and in the treatment of graft-versus-host disease (GVHD).

* Treatment of steroid dependent and steroid-resistant nephrotic syndrome due to glomerular diseases such as minimal change nephropathy, focal and segmental glomerulosclerosis or membranous glomerulonephritis in adults and children.[F3091]

Away from all this approved and reviewed indications, cyclosporine is commonly used on dermatology for the treatment of various inflammatory skin conditions such as atopic dermatitis, blistering disorders, and connective tissue diseases.[A174085]","['Ciclosporin', 'CsA', 'CyA', 'Cyclosporin', 'Cyclosporin A', 'Cyclosporine']"
DB00092,Alefacept,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis",
DB00093,Felypressin,"For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential.","['2-(L-phenylalanine)-8-L-lysinevasopressin', 'Felypressin', 'PLV-2']"
DB00094,Urofollitropin,For treatment of female infertility,"['Follitropin human', 'Urofollitrophin']"
DB00095,Efalizumab,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.","['anti-CD11a', 'antiCD11 alpha', 'Efalizumab']"
DB00097,Choriogonadotropin alfa,For the treatment of female infertility,"['Choriogonadotropin alpha', 'Chorionic gonadotropin (recombinant)']"
