"primary_key","category_Categories","mesh-id_Categories"
"DB00007","Agents Causing Muscle Toxicity",NA
"DB00007","Amino Acids, Peptides, and Proteins","D000602"
"DB00007","Antineoplastic Agents","D000970"
"DB00007","Antineoplastic Agents, Hormonal","D018931"
"DB00007","Antineoplastic and Immunomodulating Agents",NA
"DB00007","Cytochrome P-450 CYP3A Substrates",NA
"DB00007","Cytochrome P-450 CYP3A4 Substrates",NA
"DB00007","Cytochrome P-450 CYP3A4 Substrates (strength unknown)",NA
"DB00007","Drugs that are Mainly Renally Excreted",NA
"DB00007","Endocrine Therapy",NA
"DB00007","Fertility Agents","D005299"
"DB00007","Fertility Agents, Female","D005300"
"DB00007","Gonadotropin Releasing Hormone Receptor Agonist",NA
"DB00007","Gonadotropin Releasing Hormone Receptor Agonists",NA
"DB00007","Gonadotropin-releasing hormone agonist","D007987"
"DB00007","Gonadotropins","D006062"
"DB00007","Hormones","D006728"
"DB00007","Hormones and Related Agents",NA
"DB00007","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00007","Hyperglycemia-Associated Agents",NA
"DB00007","Hypothalamic Hormones","D007028"
"DB00007","Moderate Risk QTc-Prolonging Agents",NA
"DB00007","Nerve Tissue Proteins","D009419"
"DB00007","Neuropeptides","D009479"
"DB00007","Oligopeptides","D009842"
"DB00007","Peptide Hormones","D036361"
"DB00007","Peptides","D010455"
"DB00007","Pituitary Hormone-Releasing Hormones","D010906"
"DB00007","Proteins","D011506"
"DB00007","QTc Prolonging Agents",NA
"DB00007","Reproductive Control Agents","D012102"
"DB00008","Adjuvants, Immunologic","D000276"
"DB00008","Alcohols","D000438"
"DB00008","Alfa Interferons",NA
"DB00008","Amino Acids, Peptides, and Proteins","D000602"
"DB00008","Anti-Infective Agents","D000890"
"DB00008","Antineoplastic Agents","D000970"
"DB00008","Antineoplastic and Immunomodulating Agents",NA
"DB00008","Antiviral Agents","D000998"
"DB00008","Biological Factors","D001685"
"DB00008","Biomedical and Dental Materials","D001697"
"DB00008","Cardiotoxic antineoplastic agents",NA
"DB00008","Compounds used in a research, industrial, or household setting","D020313"
"DB00008","Cytochrome P-450 CYP1A2 Inhibitors","D065609"
"DB00008","Cytochrome P-450 CYP1A2 Inhibitors (unknown strength)",NA
"DB00008","Cytochrome P-450 Enzyme Inhibitors","D065607"
"DB00008","Cytokines","D016207"
"DB00008","Drug Carriers","D004337"
"DB00008","Ethylene Glycols","D005026"
"DB00008","Glycols","D006018"
"DB00008","Immunosuppressive Agents","D007166"
"DB00008","Intercellular Signaling Peptides and Proteins","D036341"
"DB00008","Interferon alpha","D016898"
"DB00008","Interferon Type I","D007370"
"DB00008","Interferons","D007372"
"DB00008","Macromolecular Substances","D046911"
"DB00008","Myelosuppressive Agents",NA
"DB00008","Pegylated agents",NA
"DB00008","Peptides","D010455"
"DB00008","Polymers","D011108"
"DB00008","Proteins","D011506"
"DB00009","Agents causing angioedema",NA
"DB00009","Amino Acids, Peptides, and Proteins","D000602"
"DB00009","Anticoagulants","D000925"
"DB00009","Biological Factors","D001685"
"DB00009","Blood and Blood Forming Organs",NA
"DB00009","Blood Proteins","D001798"
"DB00009","Cardiovascular Agents","D002317"
"DB00009","Endopeptidases","D010450"
"DB00009","Enzymes","D004798"
"DB00009","Enzymes and Coenzymes","D045762"
"DB00009","Fibrin Modulating Agents","D050299"
"DB00009","Fibrinolytic Agents","D005343"
"DB00009","Hematologic Agents","D006401"
"DB00009","Hydrolases","D006867"
"DB00009","Ophthalmologicals",NA
"DB00009","Peptide Hydrolases","D010447"
"DB00009","Plasminogen Activators","D010960"
"DB00009","Proteins","D011506"
"DB00009","Sensory Organs",NA
"DB00009","Serine Endopeptidases","D012697"
"DB00009","Serine Proteases","D057057"
"DB00010","Amino Acids, Peptides, and Proteins","D000602"
"DB00010","Anterior Pituitary Lobe Hormones and Analogues",NA
"DB00010","Diagnostic Agents",NA
"DB00010","Growth Hormone-Releasing Hormone","D013007"
"DB00010","Hormones","D006728"
"DB00010","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00010","Hypothalamic Hormones","D007028"
"DB00010","Nerve Tissue Proteins","D009419"
"DB00010","Neuropeptides","D009479"
"DB00010","Peptide Hormones","D036361"
"DB00010","Peptides","D010455"
"DB00010","Pituitary and Hypothalamic Hormones and Analogues",NA
"DB00010","Pituitary Hormone-Releasing Hormones","D010906"
"DB00010","Proteins","D011506"
"DB00010","Somatropin and Somatropin Agonists",NA
"DB00010","Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",NA
"DB00010","Tests for Pituitary Function",NA
"DB00011","Adjuvants, Immunologic","D000276"
"DB00011","Amino Acids, Peptides, and Proteins","D000602"
"DB00011","Antineoplastic and Immunomodulating Agents",NA
"DB00011","Antiviral Agents","D000998"
"DB00011","Biological Factors","D001685"
"DB00011","Cytokines","D016207"
"DB00011","Immunosuppressive Agents","D007166"
"DB00011","Intercellular Signaling Peptides and Proteins","D036341"
"DB00011","Interferon Type I","D007370"
"DB00011","Interferons","D007372"
"DB00011","Myelosuppressive Agents",NA
"DB00011","Peptides","D010455"
"DB00011","Proteins","D011506"
"DB00012","Amino Acids, Peptides, and Proteins","D000602"
"DB00012","Antianemic Preparations",NA
"DB00012","Biological Factors","D001685"
"DB00012","Blood and Blood Forming Organs",NA
"DB00012","Carbohydrates","D002241"
"DB00012","Colony-Stimulating Factors","D003115"
"DB00012","Cytokines","D016207"
"DB00012","Erythropoiesis-Stimulating Agents",NA
"DB00012","Erythropoietin","D004921"
"DB00012","Glycoconjugates","D006001"
"DB00012","Glycoproteins","D006023"
"DB00012","Hematinics","D006397"
"DB00012","Hematologic Agents","D006401"
"DB00012","Hematopoietic Cell Growth Factors","D016298"
"DB00012","Increased Erythroid Cell Production",NA
"DB00012","Intercellular Signaling Peptides and Proteins","D036341"
"DB00012","Peptides","D010455"
"DB00012","Proteins","D011506"
"DB00013","Agents causing angioedema",NA
"DB00013","Amino Acids, Peptides, and Proteins","D000602"
"DB00013","Anticoagulants","D000925"
"DB00013","Biological Factors","D001685"
"DB00013","Blood and Blood Forming Organs",NA
"DB00013","Blood Proteins","D001798"
"DB00013","Endopeptidases","D010450"
"DB00013","Enzymes","D004798"
"DB00013","Enzymes and Coenzymes","D045762"
"DB00013","Fibrinolytic Agents","D005343"
"DB00013","Hydrolases","D006867"
"DB00013","Increased Thrombolysis",NA
"DB00013","Peptide Hydrolases","D010447"
"DB00013","Plasminogen Activators","D010960"
"DB00013","Proteins","D011506"
"DB00013","Serine Endopeptidases","D012697"
"DB00013","Serine Proteases","D057057"
"DB00014","Adrenal Cortex Hormones","D000305"
"DB00014","Amino Acids, Peptides, and Proteins","D000602"
"DB00014","Antineoplastic Agents","D000970"
"DB00014","Antineoplastic Agents, Hormonal","D018931"
"DB00014","Antineoplastic and Immunomodulating Agents",NA
"DB00014","Drugs that are Mainly Renally Excreted",NA
"DB00014","Endocrine Therapy",NA
"DB00014","Gonadotropin Releasing Hormone Receptor Agonist",NA
"DB00014","Gonadotropin Releasing Hormone Receptor Agonists",NA
"DB00014","Gonadotropin-releasing hormone agonist","D007987"
"DB00014","Gonadotropins and Antigonadotropins",NA
"DB00014","Hormones","D006728"
"DB00014","Hormones and Related Agents",NA
"DB00014","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00014","Hyperglycemia-Associated Agents",NA
"DB00014","Hypothalamic Hormones","D007028"
"DB00014","Miscellaneous Therapeutic Agents",NA
"DB00014","Moderate Risk QTc-Prolonging Agents",NA
"DB00014","Nerve Tissue Proteins","D009419"
"DB00014","Neuropeptides","D009479"
"DB00014","Oligopeptides","D009842"
"DB00014","Peptide Hormones","D036361"
"DB00014","Peptides","D010455"
"DB00014","Pituitary Hormone-Releasing Hormones","D010906"
"DB00014","Proteins","D011506"
"DB00014","QTc Prolonging Agents",NA
"DB00015","Agents causing angioedema",NA
"DB00015","Amino Acids, Peptides, and Proteins","D000602"
"DB00015","Anticoagulants","D000925"
"DB00015","Biological Factors","D001685"
"DB00015","Blood and Blood Forming Organs",NA
"DB00015","Blood Proteins","D001798"
"DB00015","Cardiovascular Agents","D002317"
"DB00015","Endopeptidases","D010450"
"DB00015","Enzymes","D004798"
"DB00015","Enzymes and Coenzymes","D045762"
"DB00015","Fibrin Modulating Agents","D050299"
"DB00015","Fibrinolytic Agents","D005343"
"DB00015","Hematologic Agents","D006401"
"DB00015","Hydrolases","D006867"
"DB00015","Peptide Hydrolases","D010447"
"DB00015","Plasminogen Activators","D010960"
"DB00015","Proteins","D011506"
"DB00015","Serine Endopeptidases","D012697"
"DB00015","Serine Proteases","D057057"
"DB00016","Amino Acids, Peptides, and Proteins","D000602"
"DB00016","Antianemic Preparations",NA
"DB00016","Biological Factors","D001685"
"DB00016","Blood and Blood Forming Organs",NA
"DB00016","Carbohydrates","D002241"
"DB00016","Colony-Stimulating Factors","D003115"
"DB00016","Cytokines","D016207"
"DB00016","Erythropoiesis-Stimulating Agents",NA
"DB00016","Erythropoietin","D004921"
"DB00016","Glycoconjugates","D006001"
"DB00016","Glycoproteins","D006023"
"DB00016","Hematinics","D006397"
"DB00016","Hematologic Agents","D006401"
"DB00016","Hematopoietic Cell Growth Factors","D016298"
"DB00016","Increased Erythroid Cell Production",NA
"DB00016","Intercellular Signaling Peptides and Proteins","D036341"
"DB00016","Peptides","D010455"
"DB00016","Proteins","D011506"
"DB00017","Amino Acids, Peptides, and Proteins","D000602"
"DB00017","Bone Density Conservation Agents","D050071"
"DB00017","Bone Density, drug effects",NA
"DB00017","Calcitonin Preparations","D002116"
"DB00017","Calcium Homeostasis",NA
"DB00017","Drugs that are Mainly Renally Excreted",NA
"DB00017","Hormones","D006728"
"DB00017","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00017","Nerve Tissue Proteins","D009419"
"DB00017","Neuropeptides","D009479"
"DB00017","Parathyroid and Antiparathyroid Agents",NA
"DB00017","Parathyroid Hormones and Analogues",NA
"DB00017","Peptide Hormones","D036361"
"DB00017","Peptides","D010455"
"DB00017","Proteins","D011506"
"DB00017","Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",NA
"DB00017","Thyroid Products","D013972"
"DB00018","Alfa Interferons",NA
"DB00018","Amino Acids, Peptides, and Proteins","D000602"
"DB00018","Biological Factors","D001685"
"DB00018","Cytokines","D016207"
"DB00018","Immunosuppressive Agents","D007166"
"DB00018","Intercellular Signaling Peptides and Proteins","D036341"
"DB00018","Interferon alpha","D016898"
"DB00018","Interferon Type I","D007370"
"DB00018","Interferon-alpha","D016898"
"DB00018","Interferons","D007372"
"DB00018","Myelosuppressive Agents",NA
"DB00018","Peptides","D010455"
"DB00018","Proteins","D011506"
"DB00019","Adjuvants, Immunologic","D000276"
"DB00019","Amino Acids, Peptides, and Proteins","D000602"
"DB00019","Antineoplastic and Immunomodulating Agents",NA
"DB00019","Biological Factors","D001685"
"DB00019","Carbohydrates","D002241"
"DB00019","Colony-Stimulating Factors","D003115"
"DB00019","Cytokines","D016207"
"DB00019","Glycoconjugates","D006001"
"DB00019","Glycoproteins","D006023"
"DB00019","Hematinics","D006397"
"DB00019","Hematopoietic Cell Growth Factors","D016298"
"DB00019","Increased Myeloid Cell Production",NA
"DB00019","Intercellular Signaling Peptides and Proteins","D036341"
"DB00019","Leukocyte Growth Factor",NA
"DB00019","Pegylated agents",NA
"DB00019","Peptides","D010455"
"DB00019","Proteins","D011506"
"DB00020","Adjuvants, Immunologic","D000276"
"DB00020","Amino Acids, Peptides, and Proteins","D000602"
"DB00020","Antineoplastic and Immunomodulating Agents",NA
"DB00020","Biological Factors","D001685"
"DB00020","Carbohydrates","D002241"
"DB00020","Colony-Stimulating Factors","D003115"
"DB00020","Cytokines","D016207"
"DB00020","Glycoconjugates","D006001"
"DB00020","Glycoproteins","D006023"
"DB00020","Hematopoietic Cell Growth Factors","D016298"
"DB00020","Immunologic Factors","D007155"
"DB00020","Increased Myeloid Cell Production",NA
"DB00020","Intercellular Signaling Peptides and Proteins","D036341"
"DB00020","Leukocyte Growth Factor",NA
"DB00020","Peptides","D010455"
"DB00020","Proteins","D011506"
"DB00022","Adjuvants, Immunologic","D000276"
"DB00022","Alcohols","D000438"
"DB00022","Alfa Interferons",NA
"DB00022","Amino Acids, Peptides, and Proteins","D000602"
"DB00022","Anti-Infective Agents","D000890"
"DB00022","Antineoplastic and Immunomodulating Agents",NA
"DB00022","Antiviral Agents","D000998"
"DB00022","Biological Factors","D001685"
"DB00022","Biomedical and Dental Materials","D001697"
"DB00022","Compounds used in a research, industrial, or household setting","D020313"
"DB00022","Cytochrome P-450 CYP1A2 Inhibitors","D065609"
"DB00022","Cytochrome P-450 CYP1A2 Inhibitors (unknown strength)",NA
"DB00022","Cytochrome P-450 CYP2C9 Inducers","D065698"
"DB00022","Cytochrome P-450 CYP2C9 Inducers (weak)",NA
"DB00022","Cytochrome P-450 CYP2D6 Inhibitors","D065690"
"DB00022","Cytochrome P-450 CYP2D6 Inhibitors (weak)",NA
"DB00022","Cytochrome P-450 Enzyme Inducers","D065693"
"DB00022","Cytochrome P-450 Enzyme Inhibitors","D065607"
"DB00022","Cytokines","D016207"
"DB00022","Drug Carriers","D004337"
"DB00022","Ethylene Glycols","D005026"
"DB00022","Glycols","D006018"
"DB00022","Hepatitis C","D006526"
"DB00022","Immunosuppressive Agents","D007166"
"DB00022","Intercellular Signaling Peptides and Proteins","D036341"
"DB00022","Interferon alpha","D016898"
"DB00022","Interferon Type I","D007370"
"DB00022","Interferons","D007372"
"DB00022","Macromolecular Substances","D046911"
"DB00022","Myelosuppressive Agents",NA
"DB00022","Pegylated agents",NA
"DB00022","Peptides","D010455"
"DB00022","Polymers","D011108"
"DB00022","Proteins","D011506"
"DB00023","Amidohydrolases","D000581"
"DB00023","Antineoplastic Agents","D000970"
"DB00023","Antineoplastic and Immunomodulating Agents",NA
"DB00023","Asparaginase","D001215"
"DB00023","Asparagine-specific Enzyme",NA
"DB00023","Enzymes","D004798"
"DB00023","Enzymes and Coenzymes","D045762"
"DB00023","Hydrolases","D006867"
"DB00023","Thyroxine-binding globulin inhibitors",NA
"DB00024","Amino Acids, Peptides, and Proteins","D000602"
"DB00024","Anterior Pituitary Lobe Hormones and Analogues",NA
"DB00024","Hormones","D006728"
"DB00024","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00024","Peptide Hormones","D036361"
"DB00024","Peptides","D010455"
"DB00024","Pituitary and Hypothalamic Hormones and Analogues",NA
"DB00024","Pituitary Hormones","D010907"
"DB00024","Pituitary Hormones, Anterior","D010908"
"DB00024","Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",NA
"DB00024","Thyroid Products","D013972"
"DB00025","Amino Acids, Peptides, and Proteins","D000602"
"DB00025","Biological Factors","D001685"
"DB00025","Blood and Blood Forming Organs",NA
"DB00025","Blood Coagulation Factors","D001779"
"DB00025","Blood Proteins","D001798"
"DB00025","Carbohydrates","D002241"
"DB00025","Disaccharides","D004187"
"DB00025","Hemostatics","D006490"
"DB00025","Human Antihemophilic Factor",NA
"DB00025","Increased Coagulation Activity",NA
"DB00025","Oligosaccharides","D009844"
"DB00025","Polysaccharides","D011134"
"DB00025","Proteins","D011506"
"DB00026","Agents reducing cytokine levels",NA
"DB00026","Amino Acids, Peptides, and Proteins","D000602"
"DB00026","Antineoplastic and Immunomodulating Agents",NA
"DB00026","Antirheumatic Agents","D018501"
"DB00026","Biological Factors","D001685"
"DB00026","Biologics for Rheumatoid Arthritis Treatment",NA
"DB00026","Cytokines","D016207"
"DB00026","Disease-modifying Antirheumatic Agents",NA
"DB00026","Immunosuppressive Agents","D007166"
"DB00026","Intercellular Signaling Peptides and Proteins","D036341"
"DB00026","Interleukin 1 Receptor Antagonists",NA
"DB00026","Interleukin Inhibitors",NA
"DB00026","Interleukin-1 Receptor Antagonist",NA
"DB00026","Peptides","D010455"
"DB00026","Proteins","D011506"
"DB00027","Amino Acids, Peptides, and Proteins","D000602"
"DB00027","Anti-Bacterial Agents","D000900"
"DB00027","Anti-Infective Agents","D000890"
"DB00027","Anti-Infective Agents, Local","D000891"
"DB00027","Membrane Proteins","D008565"
"DB00027","P-glycoprotein/ABCB1 Inhibitors",NA
"DB00027","P-glycoprotein/ABCB1 Substrates",NA
"DB00027","Peptides","D010455"
"DB00027","Peptides, Cyclic","D010456"
"DB00027","Pore Forming Cytotoxic Proteins","D052899"
"DB00027","Proteins","D011506"
"DB00027","Throat Preparations",NA
"DB00027","Tyrothricin","D014449"
"DB00028","Amino Acids, Peptides, and Proteins","D000602"
"DB00028","Antibodies","D000906"
"DB00028","Antigen Neutralization",NA
"DB00028","Blood Proteins","D001798"
"DB00028","Globulins","D005916"
"DB00028","Human Immunoglobulin G",NA
"DB00028","Immunoglobulin G","D007074"
"DB00028","Immunoglobulin Isotypes","D007132"
"DB00028","Immunoglobulins","D007136"
"DB00028","Immunologic Factors","D007155"
"DB00028","Immunoproteins","D007162"
"DB00028","Passively Acquired Immunity",NA
"DB00028","Proteins","D011506"
"DB00028","Serum","D044967"
"DB00028","Serum Globulins","D012712"
"DB00029","Agents causing angioedema",NA
"DB00029","Amino Acids, Peptides, and Proteins","D000602"
"DB00029","Anticoagulants","D000925"
"DB00029","Biological Factors","D001685"
"DB00029","Blood and Blood Forming Organs",NA
"DB00029","Blood Proteins","D001798"
"DB00029","Cardiovascular Agents","D002317"
"DB00029","Endopeptidases","D010450"
"DB00029","Enzymes","D004798"
"DB00029","Enzymes and Coenzymes","D045762"
"DB00029","Fibrin Modulating Agents","D050299"
"DB00029","Fibrinolytic Agents","D005343"
"DB00029","Hematologic Agents","D006401"
"DB00029","Hydrolases","D006867"
"DB00029","Peptide Hydrolases","D010447"
"DB00029","Plasminogen Activators","D010960"
"DB00029","Proteins","D011506"
"DB00029","Serine Endopeptidases","D012697"
"DB00029","Serine Proteases","D057057"
"DB00029","Streptokinase","D013300"
"DB00030","Alimentary Tract and Metabolism",NA
"DB00030","Amino Acids, Peptides, and Proteins","D000602"
"DB00030","Blood Glucose Lowering Agents","D007004"
"DB00030","Drugs Used in Diabetes",NA
"DB00030","Hormones","D006728"
"DB00030","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00030","Hypoglycemia-Associated Agents",NA
"DB00030","Insulin","D007328"
"DB00030","Insulin, Long-Acting","D049528"
"DB00030","Insulins and Analogues",NA
"DB00030","Insulins and Analogues for Inhalation",NA
"DB00030","Insulins and Analogues for Injection, Fast-Acting",NA
"DB00030","Insulins and Analogues for Injection, Intermediate- or Long-Acting Combined With Fast-Acting",NA
"DB00030","Insulins and Analogues for Injection, Intermediate-Acting",NA
"DB00030","Pancreatic Hormones","D010187"
"DB00030","Peptide Hormones","D036361"
"DB00030","Peptides","D010455"
"DB00031","Agents causing angioedema",NA
"DB00031","Amino Acids, Peptides, and Proteins","D000602"
"DB00031","Anticoagulants","D000925"
"DB00031","Biological Factors","D001685"
"DB00031","Blood and Blood Forming Organs",NA
"DB00031","Blood Proteins","D001798"
"DB00031","Cardiovascular Agents","D002317"
"DB00031","Endopeptidases","D010450"
"DB00031","Enzymes","D004798"
"DB00031","Enzymes and Coenzymes","D045762"
"DB00031","Fibrin Modulating Agents","D050299"
"DB00031","Fibrinolytic Agents","D005343"
"DB00031","Hematologic Agents","D006401"
"DB00031","Hydrolases","D006867"
"DB00031","Peptide Hydrolases","D010447"
"DB00031","Plasminogen Activators","D010960"
"DB00031","Proteins","D011506"
"DB00031","Serine Endopeptidases","D012697"
"DB00031","Serine Proteases","D057057"
"DB00032","Amino Acids, Peptides, and Proteins","D000602"
"DB00032","Biological Products","D001688"
"DB00032","Complex Mixtures","D045424"
"DB00032","Fertility Agents","D005299"
"DB00032","Fertility Agents, Female","D005300"
"DB00032","Genito Urinary System and Sex Hormones",NA
"DB00032","Gonadotropins","D006062"
"DB00032","Gonadotropins and Antigonadotropins",NA
"DB00032","Gonadotropins, Pituitary","D006065"
"DB00032","Hormones","D006728"
"DB00032","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00032","Peptide Hormones","D036361"
"DB00032","Peptides","D010455"
"DB00032","Pituitary Hormones","D010907"
"DB00032","Pituitary Hormones, Anterior","D010908"
"DB00032","Reproductive Control Agents","D012102"
"DB00032","Sex Hormones and Modulators of the Genital System",NA
"DB00033","Amino Acids, Peptides, and Proteins","D000602"
"DB00033","Biological Factors","D001685"
"DB00033","Cytokines","D016207"
"DB00033","Immunosuppressive Agents","D007166"
"DB00033","Intercellular Signaling Peptides and Proteins","D036341"
"DB00033","Interferon gamma",NA
"DB00033","Interferons","D007372"
"DB00033","Lymphokines","D008222"
"DB00033","Macrophage-Activating Factors","D016215"
"DB00033","Myelosuppressive Agents",NA
"DB00033","Peptides","D010455"
"DB00033","Proteins","D011506"
"DB00034","Adjuvants, Immunologic","D000276"
"DB00034","Alfa Interferons",NA
"DB00034","Amino Acids, Peptides, and Proteins","D000602"
"DB00034","Antineoplastic and Immunomodulating Agents",NA
"DB00034","Biological Factors","D001685"
"DB00034","Cytokines","D016207"
"DB00034","Immunosuppressive Agents","D007166"
"DB00034","Intercellular Signaling Peptides and Proteins","D036341"
"DB00034","Interferon alpha","D016898"
"DB00034","Interferon Type I","D007370"
"DB00034","Interferons","D007372"
"DB00034","Myelosuppressive Agents",NA
"DB00034","Peptides","D010455"
"DB00034","Proteins","D011506"
"DB00035","Agents that produce hypertension",NA
"DB00035","Amino Acids, Peptides, and Proteins","D000602"
"DB00035","Antidiuretic Agents","D050034"
"DB00035","Arginine Vasopressin","D001127"
"DB00035","Cardiovascular Agents","D002317"
"DB00035","Coagulants","D003029"
"DB00035","Drugs that are Mainly Renally Excreted",NA
"DB00035","Factor VIII Activator",NA
"DB00035","Hematologic Agents","D006401"
"DB00035","Hemostatics","D006490"
"DB00035","Hormones","D006728"
"DB00035","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00035","Increased Coagulation Factor VIII Activity",NA
"DB00035","Increased Coagulation Factor VIII Concentration",NA
"DB00035","Natriuretic Agents","D045283"
"DB00035","Nerve Tissue Proteins","D009419"
"DB00035","Neuropeptides","D009479"
"DB00035","Oligopeptides","D009842"
"DB00035","Peptide Hormones","D036361"
"DB00035","Peptides","D010455"
"DB00035","Pituitary",NA
"DB00035","Pituitary and Hypothalamic Hormones and Analogues",NA
"DB00035","Pituitary Hormones","D010907"
"DB00035","Pituitary Hormones, Posterior","D010909"
"DB00035","Posterior Pituitary Lobe Hormones",NA
"DB00035","Proteins","D011506"
"DB00035","Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",NA
"DB00035","Vasopressin Analog",NA
"DB00035","Vasopressin and Analogues",NA
"DB00035","Vasopressins","D014667"
"DB00036","Amino Acids, Peptides, and Proteins","D000602"
"DB00036","Biological Factors","D001685"
"DB00036","Blood and Blood Forming Organs",NA
"DB00036","Blood Coagulation Factors","D001779"
"DB00036","Blood Proteins","D001798"
"DB00036","Endopeptidases","D010450"
"DB00036","Enzymes","D004798"
"DB00036","Enzymes and Coenzymes","D045762"
"DB00036","Factor VII","D005167"
"DB00036","Hemostatics","D006490"
"DB00036","Hydrolases","D006867"
"DB00036","Increased Coagulation Factor IX Activity",NA
"DB00036","Increased Coagulation Factor X Activity",NA
"DB00036","Peptide Hydrolases","D010447"
"DB00036","Proteins","D011506"
"DB00036","Serine Endopeptidases","D012697"
"DB00036","Serine Proteases","D057057"
"DB00038","Adjuvants, Immunologic","D000276"
