"primary_key","food_interaction_Food_Interactions"
"DB00211","Take without regard to meals."
"DB00213","Take without regard to meals."
"DB00215","Avoid alcohol."
"DB00215","Avoid St.John's Wort."
"DB00215","Take without regard to meals."
"DB00216","Exposure to the product (area below curve) and  maximum concentrations are increased when product is taken with a high-fat meal."
"DB00218","Take without regard to meals. Drink liberally. Absorption is not affected by lipid-rich meals or yogourt."
"DB00220","Food significantly increases absorption (2 to 3 times)."
"DB00220","Take with food."
"DB00222","Avoid alcohol."
"DB00222","Even though food reduces product absorption, the manufacturer recommends taking the product with the first meal of the day."
"DB00224","Avoid excessive or chronic alcohol use."
"DB00224","Avoid taking with grapefruit juice"
"DB00224","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00224","Take with a full glass of water."
"DB00227","Avoid alcohol."
"DB00227","Avoid drastic changes in dietary habit."
"DB00227","Avoid taking with grapefruit juice."
"DB00227","Take with food, 50% increase in bioavailability when taken with food."
"DB00230","Avoid alcohol (may increase CNS effects)."
"DB00230","When taken with food, Cmax decreases, while Tmax is prolonged. Despite these observations, the total absorption of pregabalin is not effected to a clinically relevant degree. Pregabalin can be taken with or without food."
"DB00231","Avoid alcohol."
"DB00231","Avoid avocado."
"DB00231","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00233","Take without regard to meals."
"DB00238","Avoid alcohol."
"DB00238","Take without regard to meals."
"DB00242","Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
"DB00243","Grapefruit and grapefruit juice should be avoided throughout treatment."
"DB00243","Take without regard to meals."
"DB00244","Take without regard to meals."
"DB00245","Avoid alcohol."
"DB00245","Take with food to reduce irritation."
"DB00246","Avoid alcohol."
"DB00247","Take with food to reduce irritation."
"DB00248","Absorption is not affected by food."
"DB00248","Take with food to improve tolerance."
"DB00250","Take without regard to meals."
"DB00252","Avoid alcohol."
"DB00252","Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB00252","Take with food to increase bioavailability and reduce irritation."
"DB00254","Avoid alcohol."
"DB00254","Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB00254","Take with a full glass of water Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB00256","Do not to take any indigestion remedies, iron or zinc supplements at the same time as this medicine."
"DB00261","Food appears to reduce the area under the curve by 13.8%, without clinical consequence."
"DB00261","Take without regard to meals."
"DB00262","Echinacea"
"DB00264","Avoid alcohol."
"DB00264","Avoid natural licorice."
"DB00264","Take with food."
"DB00273","Following a single dose of the extended-release formulation with a high fat meal, Cmax of topiramate increased by 37% and shortened the Tmax to approximately 8 hours. AUC was not effected. According to the FDA label, Trokendi XR can be taken without regard to food."
"DB00275","Food does not affect the bioavailability of olmesartan."
"DB00277","Avoid alcohol."
"DB00277","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00277","Take with food."
"DB00278","Herbs and food with anticoagulant/antiplatelet activity. Major interactions may occur with danshen, dong quai, evening primrose oil, gingko, policosanol, willow bark"
"DB00280","Avoid alcohol."
"DB00280","Take without regard to meals."
"DB00283","Avoid alcohol."
"DB00283","Take with food."
"DB00284","Take with food, at beginning of each meal."
"DB00285","Avoid alcohol."
"DB00285","Avoid St.John's Wort."
"DB00285","Take with food."
"DB00289","In the presence of food, the absorption rate is reduced, without the quantity absorbed being affected."
"DB00289","Take without regard to meals."
"DB00291","Drink liberally."
"DB00291","Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
"DB00291","Food reduces bioavailability."
"DB00291","Take on an empty stomach."
"DB00294","Avoid alcohol."
"DB00294","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00294","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB00294","Take at the same time everyday."
"DB00294","Take with food."
"DB00295","Avoid alcohol."
"DB00295","Take with food."
"DB00295","To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
"DB00300","When given with a high-fat meal, the oral bioavailability, AUC, and Cmax increased."
"DB00301","Take on an empty stomach."
"DB00310","Take with food (increases availability)."
"DB00313","Avoid alcohol."
"DB00313","Do not take with milk."
"DB00313","Take with food."
"DB00316","Avoid alcohol (may increase risk of hepatotoxicity)."
"DB00316","Take without regard to meals."
"DB00317","Avoid fresh grapefruit and its juice during therapy as grapefruit may increase serum product levels."
"DB00317","Take without regard to meals."
"DB00318","Avoid alcohol."
"DB00318","Take with food, food reduces irritation."
"DB00318","To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
"DB00321","Avoid alcohol."
"DB00321","Avoid excessive quantities of coffee or tea (caffeine)."
"DB00321","Avoid St.John's Wort."
"DB00321","Take with food to reduce irritation."
"DB00327","Take without regard to meals. Avoid alcohol."
"DB00328","Avoid alcohol."
"DB00328","Take with food or antacids to reduce irritation."
"DB00330","Take with food to reduce irritation."
"DB00331","Avoid alcohol."
"DB00331","Take with food to reduce gastric irritation."
"DB00333","Take without regard to meals. Avoid alcohol. Usually diluted in fruit juice."
"DB00334","Avoid alcohol."
"DB00334","Take without regard to meals."
"DB00335","Consult your doctor before taking large amounts of Vitamin K (Green leafy vegetables)."
"DB00335","Take 30-60 minutes before meals, take at the same time each day."
"DB00338","Avoid alcohol."
"DB00338","Take 30-60 minutes before meals."
"DB00339","Take without regard to meals."
"DB00341","Avoid alcohol."
"DB00341","Take without regard to meals."
"DB00343","Avoid natural licorice."
"DB00343","Take this medication 30 minutes before meals."
"DB00346","Take after a meal (always the same meal), product bioavailability is reduced when taken on an empty stomach."
"DB00349","Alcohol increases clobazam absorption by 50%."
"DB00349","Take without regard to meals."
"DB00350","Take without regard to meals."
"DB00351","Take with food."
"DB00356","Avoid alcohol."
"DB00356","Take without regard to meals."
"DB00357","Take without regard to meals."
"DB00358","Avoid alcohol."
"DB00358","Take with a full glass of water."
"DB00358","Take with food."
"DB00363","Avoid alcohol."
"DB00363","Limit caffeine intake (may reduce clozapine matabolism)."
"DB00363","Take without regard to meals."
"DB00364","Avoid alcohol."
"DB00364","Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB00364","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00364","Take with a full glass of water."
"DB00365","Drink liberally but avoid coffee."
"DB00365","Take without regard to meals."
"DB00367","Avoid alcohol."
"DB00367","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00367","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB00367","Take at the same time everyday."
"DB00367","Take with food."
"DB00370","Take without regard to meals. Avoid alcohol."
"DB00371","Take without regard to meals. Avoid alcohol."
"DB00375","Take with food."
"DB00379","Take with food to reduce irritation."
"DB00381","Avoid natural licorice."
"DB00381","Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of amlodipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of amlodipine and may cause toxicity. Avoid grapefruit products while on this medication."
"DB00381","Take without regard to meals."
"DB00388","Take without regard to meals."
"DB00390","Avoid avocado."
"DB00390","Avoid bran and high fiber foods within 2 hours of taking this medication."
"DB00390","Avoid excess salt/sodium unless otherwise instructed by your physician."
"DB00390","Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB00390","Avoid salt substitutes containing potassium."
"DB00390","Limit garlic, ginger, gingko, and horse chestnut."
"DB00393","Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nimodipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nimodipine and may cause toxicity. Avoid grapefruit products while on this medication."
"DB00393","Take at the same time each day, with or without food, but always in the same manner."
"DB00394","No food effects were found when given with beclomethasone dipropionate."
"DB00395","Avoid alcohol."
"DB00395","Take without regard to meals."
"DB00396","Avoid alcohol."
"DB00396","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00396","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB00396","Take at the same time everyday."
"DB00396","Take with food."
"DB00397","Limit caffeine intake."
"DB00397","Take without regard to meals."
"DB00400","Avoid alcohol."
"DB00400","Take this medication with a high fat meal, fatty foods increase bioavailability."
"DB00401","Do not take with grapefruit juice as this has been shown to interfere with nisoldipine metabolism, resulting in a mean increase in C<sub>max</sub> of about 3-fold (up to about 7-fold) and AUC of almost 2-fold (up to 5-fold)."
"DB00404","Avoid alcohol."
"DB00404","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00404","Avoid taking with grapefruit juice."
"DB00404","Take with food."
"DB00408","Take with food to reduce irritation. Avoid alcohol."
"DB00409","Take without regard to meals."
"DB00413","Take without regard to meals, however if nausea is a problem, taking the product with food may reduce its incidence."
"DB00414","Avoid alcohol."
"DB00414","Take without regard to meals."
"DB00415","Take on an empty stomach."
"DB00417","Absorption is increased when taken on an empty stomach (one hour before or two hours after meals)."
"DB00419","Take without regard to meals, but always at the same time and in the same way."
"DB00421","Avoid alcohol."
"DB00421","Food increases the bioavailability of spironolactone by almost 100%."
"DB00421","Spironolactone may decrease the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia."
"DB00422","Avoid alcohol."
"DB00422","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00422","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00423","Avoid alcohol."
"DB00423","Take without regard to meals."
"DB00424","Take 30 minutes before meals, and at bedtime."
"DB00425","Avoid alcohol."
"DB00425","Should not be administered with or immediately after a meal."
"DB00426","Take without regard to meals."
"DB00433","Avoid alcohol."
"DB00433","Take with a full glass of water Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00433","Take with food."
"DB00434","Avoid alcohol."
"DB00434","Take with food."
"DB00436","Take with food to increase bioavailability."
"DB00437","Avoid alcohol."
"DB00437","Take with a full glass of water."
"DB00437","Take with food."
"DB00439","Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly increase serum levels of this product."
"DB00439","Take without regard to meals."
"DB00440","Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
"DB00440","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00440","Take with a full glass of water."
"DB00442","Take on an empty stomach."
"DB00442","Taking the product with a high-fat meal or a light snack reduces the maximal concentration by 44 to 46% and total exposure by 18 to 20%."
"DB00443","Take with food to reduce irritation."
"DB00445","Liberal fluid intake to increase urine output and help the excretion of uric acid."
"DB00446","Take on an empty stomach."
"DB00447","Take on an empty stomach. Food reduces Cmax by 50 to 60%."
"DB00448","Avoid alcohol."
"DB00448","Food reduces bioavailabilty, but this has very little clinical impact."
"DB00448","Take 30-60 minutes before meals."
"DB00451","Absorption increased in fasting state and decreased in malabsorption states."
"DB00451","Consistent administration in relation to meals is recommended."
"DB00451","No iron or calium carbonate within 4 hours of taking this medication."
"DB00451","Oral administration with infant soybean formula, soybean flour, cotton seed meal, walnuts, foods containing large amounts of fiber, ferrous sulfate, and antacids may decrease drug absorption."
"DB00451","Take 30-60 minutes before breakfast."
"DB00454","Take without regard to meals. Avoid alcohol."
"DB00455","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00457","Avoid alcohol."
"DB00457","Avoid natural licorice."
"DB00457","Take without regard to meals."
"DB00458","Avoid alcohol."
"DB00458","Avoid excessive quantities of coffee or tea (caffeine)."
"DB00458","Avoid St.John's Wort."
"DB00458","Do not take fibers at the same time."
"DB00458","Take with food."
"DB00461","Avoid alcohol."
"DB00461","Take with food for faster absorption."
"DB00465","Take with food to reduce GI irritation"
"DB00468","Take with food to reduce irritation."
"DB00470","Avoid alcohol."
"DB00470","Take without regard to meals."
"DB00471","Take without regard to meals."
"DB00472","Avoid alcohol."
"DB00472","Take with food to reduce irritation and nausea."
"DB00475","Avoid alcohol."
"DB00475","Take without regard to meals."
"DB00476","Food does not affect maximum levels reached, but delays it (from 6 to 10 hours) and total product exposure appears to be reduced by only 10%."
"DB00476","People taking this product who drink large amounts of alcohol are exposed to a higher risk of liver toxicity."
"DB00476","Take without regard to meals."
"DB00477","Avoid alcohol."
"DB00477","Take with food to reduce irritation."
"DB00480","When given with a fatty meal, the extent of absorption is reduced."
"DB00481","Avoid alcohol."
"DB00481","Take without regard to meals."
"DB00482","Take without regard to meals."
"DB00482","Taking this product with a high-fat meal will delay the Cmax, but total absorption will be increased by 10 to 20%."
"DB00485","Take on an empty stomach, food decreases the availability."
"DB00486","Take without regard to meals. Avoid alcohol."
"DB00490","Always take at the same time with respect to meals."
"DB00490","Avoid alcohol."
"DB00490","Avoid taking grapefruit or grapefruit juice throughout treatment."
"DB00490","Take with food."
"DB00491","Take with food, at beginning of each meal. Iron needs increased."
"DB00492","Do not take calcium, aluminum, magnesium or iron supplements, or antacids within 2 hours of taking this medication."
"DB00492","Fosinopril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia."
"DB00492","Herbs that may attenuate the antihypertensive effect of fosinopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00492","High salt intake may attenuate the antihypertensive effect of fosinopril."
"DB00492","Take without regard to meals."
"DB00494","Take without regard to meals."
"DB00496","Take without regard to meals."
"DB00497","Take without regard to meals. Avoid alcohol."
"DB00499","Take without regard to meals."
"DB00501","Avoid alcohol."
"DB00501","Best effect when taken with food."
"DB00501","Limit caffeine intake."
"DB00502","Take with food to reduce irritation, limit caffeine intake. Avoid alcohol."
"DB00503","Avoid St.John's Wort."
"DB00503","Take with food."
"DB00509","Take without regard to meals."
"DB00513","Take without regard to meals."
"DB00514","Take without regard to meals."
"DB00515","Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
"DB00519","Herbs that may attenuate the antihypertensive effect of trandolapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00519","High salt intake may attenuate the antihypertensive effect of trandolapril."
"DB00519","Take without regard to meals."
"DB00519","Trandolapril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia."
"DB00524","Take with food to reduce gastric irritation."
"DB00530","Take at least 1 hour before or 2 hours after any food."
"DB00530","Take with a glass of water."
"DB00531","Drink liberally- 2 to 3 liters/day."
"DB00531","Take with food to reduce irritation."
"DB00535","Avoid taking antacids at same time (up to 2 hours before or after antibiotic)."
"DB00535","Avoid taking iron preparations at same time (up to 2 hours before or after antibiotic)."
"DB00535","Take without regard to meals."
"DB00537","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00537","Avoid milk, calcium containing dairy products, iron, magnesium, zinc, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB00537","Take with a full glass of water."
"DB00537","Take without regard to meals."
"DB00540","Avoid alcohol."
"DB00540","Avoid excessive quantities of coffee or tea (caffeine)."
"DB00540","Take with food to reduce irritation."
"DB00542","Benazepril may decrease the excretion of potassium. Salt um may increase the risk of hyperkalemia. substitutes containing potassi"
"DB00542","Food slows absorption without decreasing the quantity absorbed."
"DB00542","Herbs that may attenuate the antihypertensive effect of benazepril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00542","High salt intake may attenuate the antihypertensive effect of benazepril."
"DB00542","Take without regard to meals."
"DB00543","Avoid alcohol."
"DB00543","Take with food to reduce irritation."
"DB00544","Vitamin B1 needs increased with long term use."
"DB00545","Take with food to decrease adverse effects."
"DB00549","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00550","Take at the same time everyday."
"DB00553","Take with food or milk, or in two divided doses 30 minutes apart to decrease nausea."
"DB00554","Take with food. Avoid alcohol."
"DB00555","Take without regard to meals."
"DB00557","Avoid alcohol."
"DB00557","Take with food."
"DB00559","Take without regard to meals."
"DB00563","Milk appears to reduce its absorption."
"DB00563","Take without regard to meals. Limit caffeine intake."
"DB00564","Avoid alcohol."
"DB00564","Avoid taking grapefruit or grapefruit juice throughout treatment."
"DB00564","Grapefruit can significantly increase serum levels of this product."
"DB00564","Take with food, increases availability and reduces irritation."
"DB00567","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00571","Avoid alcohol."
"DB00571","Avoid natural licorice."
"DB00571","Take with food."
"DB00572","Avoid alcohol."
"DB00572","Take with food."
"DB00573","Avoid alcohol."
"DB00573","Take with food to reduce irritation."
"DB00574","Take without regard to meals."
"DB00575","Avoid alcohol."
"DB00575","Take without regard to meals."
"DB00578","Take on an empty stomach."
"DB00579","If product causes GI problems, it can be taken during meals."
"DB00579","May be taken without regard to meals, but preferably 1 hour before a meal."
"DB00581","Take without regard to meals. Drink liberally."
"DB00584","Enalapril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia."
"DB00584","Herbs that may attenuate the antihypertensive effect of enalapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00584","High salt intake may attenuate the antihypertensive effect of enalapril."
"DB00584","Take without regard to meals."
"DB00585","Avoid alcohol."
"DB00585","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00585","Do not take Aluminum or magnesium antacids or supplements while on this medication."
"DB00585","May take Vitamin D."
"DB00585","No iron, zinc or fluoride within 2 hours of taking this medication."
"DB00585","Take without regard to meals."
"DB00586","Avoid alcohol."
"DB00586","Take with food to reduce irritation."
"DB00590","Avoid alcohol."
"DB00590","Avoid natural licorice."
"DB00590","Take without regard to meals."
"DB00592","Take without regard to meals."
"DB00593","Avoid alcohol."
"DB00593","Take with food."
"DB00594","Avoid drastic changes in dietary habit."
"DB00594","Avoid natural licorice."
"DB00594","Avoid salt substitutes containing potassium."
"DB00594","Take with food to reduce irritation."
"DB00598","Take without regard to meals."
"DB00601","Take without regard to meals."
"DB00602","When administered with a high fat meal, the bioavailability is increased 2.5 times."
"DB00603","Take with food."
"DB00604","Grapefruit and grapefruit juice should be avoided throughout treatment, grapefruit can significantly increase serum levels of this product."
"DB00604","Increases absorption, take 30 minutes before a meal."
"DB00608","Take with food to reduce irritation and increase bioavailability."
"DB00611","Avoid alcohol."
"DB00612","Take without regard to meals."
"DB00615","High-fat meals slow the rate of absorption."
"DB00615","Take with food to reduce irritation."
"DB00618","Avoid milk and multivalent ions."
"DB00618","Take on an empty stomach."
"DB00619","Take with food to reduce the incidence of gastric irritation. Follow with a large glass of water. A lipid rich meal will slightly reduce and delay absorption. Avoid grapefruit and grapefruit juice throughout treatment, grapefruit can significantly increase serum levels of this product."
"DB00622","Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product."
"DB00622","Take without regard to meals."
"DB00623","Avoid alcohol."
"DB00623","Take with food to reduce irritation."
"DB00625","Avoid excessive or chronic alcohol consumption."
"DB00625","Take without regard to meals."
"DB00627","Avoid alcohol."
"DB00627","Take with food."
"DB00628","Avoid alcohol."
"DB00628","Take without regard to meals."
"DB00630","Take 30-60 minutes before breakfast."
"DB00630","Take with a full glass of water."
"DB00631","Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
"DB00635","Avoid alcohol."
"DB00635","Avoid taking with grapefruit juice."
"DB00635","Take with food to reduce irritation."
"DB00635","When Rayos, the delayed-release tablet, is taken without food, Cmax and bioavailability were lower compared to the fed state."
"DB00636","Take with food, since it may reduce gastric irritation."
"DB00637","Take on an empty stomach, food decreases absorption by 60%."
"DB00640","Avoid caffeine containing foods and drinks."
"DB00641","Avoid alcohol."
"DB00641","Avoid drastic changes in dietary habit."
"DB00641","Avoid taking with grapefruit juice."
"DB00643","Lipid rich meals may improve absorption."
"DB00643","Take with food."
"DB00646","Take without regard to meals."
"DB00647","Take without regard to meals. Avoid alcohol."
"DB00648","Take without regard to meals."
"DB00652","Take without regard to meals. Avoid alcohol."
"DB00656","Avoid alcohol."
"DB00656","Food decreases the rate and extent of absorption."
"DB00659","Take without regard to meals."
"DB00659","Taking the product with food reduces its C<sub>max</sub> by 42% and total drug exposure by 23% (not considered significant)."
"DB00661","Avoid alcohol."
"DB00661","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00661","Avoid natural licorice."
"DB00661","Avoid taking with grapefruit juice."
"DB00661","Take with food."
"DB00665","Avoid alcohol."
"DB00665","Take before breakfast."
"DB00670","Take 30 minutes before breakfast and at bedtime."
"DB00671","Preferably on an empty stomach, rate of absorption is decreased but extenet of absorption remains the same: not really problematic."
"DB00672","Avoid alcohol."
"DB00672","Food reduces the rate of absorption."
"DB00672","Take 30 minutes before meal."
"DB00673","Take without regard to meals."
"DB00674","Take with food."
"DB00678","Take without regard to meals. Take at same time each day. Food delays absorption, but does not affect the extent of absorption."
"DB00682","Avoid alcohol."
"DB00682","Avoid drastic changes in dietary habit."
"DB00682","Avoid St. John's Wort."
"DB00682","Consult your doctor before ingesting large amounts of dietary Vitamin K (e.g. from green leafy vegetables)."
"DB00682","Limit garlic, ginger, gingko, and horse chestnut."
"DB00683","Grapefruit juice slows the product's absorption and significantly increases its bioavailability."
"DB00686","Take on an empty stomach, 1 hour before or 2 hours after meals."
"DB00687","Avoid excess salt/sodium unless otherwise instructed by your physician."
"DB00687","Take with food to reduce irritation."
"DB00688","Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
"DB00688","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00690","Avoid alcohol."
"DB00690","Take without regard to meals."
"DB00691","Herbs that may attenuate the antihypertensive effect of moexipril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00691","High salt intake may attenuate the antihypertensive effect of moexipril."
"DB00691","Moexipril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia."
"DB00691","Take moexipril one hour before or two hours after meals."
"DB00695","Avoid alcohol."
"DB00695","Avoid excess salt/sodium unless otherwise instructed by your physician."
"DB00695","Increase potassium intake; add a banana or orange juice; unless instructed otherwise."
"DB00695","Take with food to reduce irritation."
"DB00696","Caffeine increases absorption."
"DB00696","Take without regard to meals."
"DB00698","Do not take magnesium at the same time."
"DB00698","Take with food since it increases bioavailability and reduces irritation."
"DB00701","Avoid alcohol, especially with the oral solution since it contains propylene glycol which competes with alcohol for alcohol dehydrogenase metabolism."
"DB00701","Take with or without food, however avoid lipid-rich meals."
"DB00701","Vitamin E increases amprenavir bioavailability."
"DB00703","Take with food, more than 6 hours before bedtime increase liquid intake."
"DB00704","Take without regard to meals."
"DB00705","Take without regard to meals."
"DB00706","Take 30 minutes after a meal (always after the same meal). Taking the drug with food minimizes plasma levels variations."
"DB00709","Take without regard to meals. Food does not decrease the extent of absorption, but it decreases the Cmax by slowing the rate of absorption."
"DB00710","Take on an empty stomach. All foods markedly reduce (up to 90%) ibandronate bioavailabilty. Take with plain water (not mineralized) at least 1 hour before any food. Bioavailability and effect on bone density are both impaired if the patient eats or drinks in less than 1 hour after taking this product. Drink a large glass of water and stay in an upright position for at least 60 minutes after taking this product."
"DB00712","Avoid alcohol."
"DB00712","Take with food to reduce gastric irritation."
"DB00715","Take without regard to meals. Avoid alcohol."
"DB00717","Take without regard to meals."
"DB00718","Take without regard to meals."
"DB00719","Avoid alcohol."
"DB00719","Take with food to reduce irritation."
"DB00720","Food decreases absorption. Take on an empty stomach."
"DB00722","Herbs that may attenuate the antihypertensive effect of lisinopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00722","High salt intake may attenuate the antihypertensive effect of lisinopril."
"DB00722","Lisinopril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia."
"DB00722","Take without regard to meals."
"DB00727","Avoid alcohol."
"DB00727","Dissolve under the tongue."
"DB00727","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00731","Take upto 30 minutes before meals."
"DB00736","Take without regard to meals."
"DB00737","Take with food to reduce irritation. Avoid alcohol."
"DB00740","Take on an empty stomach 1 hour before or 2 hours after meals."
"DB00741","Take with food to reduce irritation. Calcium, phosphorous, potassium, Vitamin A, C, D and zinc needs increased with long term use."
"DB00745","Take without regard to meals."
"DB00749","Avoid alcohol."
"DB00749","Food increases the peak plasma concentration of extended-release tablets with no effect on extent of absorption."
