"primary_key","synonym_Synonyms","language_Synonyms","coder_Synonyms"
"DB00013","Urokinase","english","inn/usan"
"DB00013","Urokinasum","latin","inn"
"DB00013","Uroquinasa","spanish","inn"
"DB00014","Goserelin","english","inn/usan"
"DB00014","Goserelina","spanish",NA
"DB00015","Human t-PA (residues 1-3 and 176-527)","english",NA
"DB00015","Reteplasa","spanish",NA
"DB00015","Reteplase, recombinant","english",NA
"DB00015","Reteplase,recombinant","english",NA
"DB00016","E.P.O.","english",NA
"DB00016","Epoetin alfa","english",NA
"DB00016","Epoetin alfa rDNA","english",NA
"DB00016","Epoetin alfa-epbx","english",NA
"DB00016","Epoetin alfa, recombinant","english",NA
"DB00016","Epoetin beta","english",NA
"DB00016","Epoetin beta rDNA","english",NA
"DB00016","Epoetin epsilon","english",NA
"DB00016","Epoetin gamma","english",NA
"DB00016","Epoetin gamma rDNA","english",NA
"DB00016","Epoetin kappa","english",NA
"DB00016","Epoetin omega","english",NA
"DB00016","Epoetin theta","english",NA
"DB00016","Epoetin zeta","english/german",NA
"DB00016","Epoetina alfa","spanish",NA
"DB00016","Epoetina beta","spanish",NA
"DB00016","Epoetina dseta","spanish",NA
"DB00016","Epoetina zeta","spanish",NA
"DB00016","Epoétine zêta","french",NA
"DB00016","Epoetinum zeta","latin",NA
"DB00016","Erythropoiesis stimulating factor","english",NA
"DB00016","Erythropoietin (human, recombinant)","english",NA
"DB00016","Erythropoietin (recombinant human)","english",NA
"DB00016","ESF","english",NA
"DB00016","SH-polypeptide-72","english",NA
"DB00017","Calcitonin (Salmon Synthetic)","english",NA
"DB00017","Calcitonin Salmon","english",NA
"DB00017","Calcitonin salmon recombinant","english",NA
"DB00017","Calcitonin-salmon","english",NA
"DB00017","Calcitonin, salmon","english",NA
"DB00017","Calcitonina salmón sintética","spanish",NA
"DB00017","Recombinant salmon calcitonin","english",NA
"DB00017","Salmon calcitonin","english",NA
"DB00019","Granulocyte colony-stimulating factor pegfilgrastim","english",NA
"DB00019","Peg-filgrastim","english",NA
"DB00019","pegfilgrastim-cbqv","english",NA
"DB00019","pegfilgrastim-jmdb","english",NA
"DB00020","Recombinant human granulocyte-macrophage colony stimulating factor","english",NA
"DB00020","rGM-CSF","english",NA
"DB00020","rHu GM-CSF","english",NA
"DB00020","Sargramostim","english","inn/jan/usan/usp"
"DB00023","Asparaginase","english",NA
"DB00023","Asparaginase (E. coli)","english",NA
"DB00023","Colaspase","english","ban"
"DB00023","Escherichia coli L-asparaginase","english",NA
"DB00023","L-asparaginase","english",NA
"DB00023","L-asparagine amidohydrolase","english",NA
"DB00024","Recombinant Human Thyroid Stimulating Hormone","english",NA
"DB00024","Recombinant thyrotropin alfa","english",NA
"DB00024","rhTSH","english",NA
"DB00024","rTSH","english",NA
"DB00024","Thyrotropin alpha","english",NA
"DB00025","Antihemophilic factor (recombinant)","english",NA
"DB00025","Antihemophilic factor recombinant","english",NA
"DB00025","Antihemophilic factor, human recombinant","english",NA
"DB00025","Antihemophilic factor, recombinant","english",NA
"DB00025","Factor VIII (rDNA)","english",NA
"DB00025","Factor VIII (Recombinant)","english",NA
"DB00025","Factor VIII recombin","english",NA
"DB00025","Factor VIII, recombinant","english",NA
"DB00025","Human Factor VIII (Recombinant)","english",NA
"DB00025","Human factor VIII recombinant","english",NA
"DB00025","Octocog alfa","english","inn"
"DB00025","rAHF","english",NA
"DB00025","Recombinant antihemophilic factor VIII","english",NA
"DB00026","Anakinra","english","inn/usan"
"DB00026","IL-1RA","english",NA
"DB00026","Interleukin-1 receptor antagonist anakinra","english",NA
"DB00027","Bacillus brevis gramicidin D","english",NA
"DB00027","Gramicidin","english",NA
"DB00027","Gramicidin A","english",NA
"DB00027","Gramicidin B","english",NA
"DB00027","Gramicidin C","english",NA
"DB00027","Gramicidina","spanish",NA
"DB00027","Gramicidine","english",NA
"DB00028","Human IGG","english",NA
"DB00028","Human Immunoglobulin G","english",NA
"DB00028","Human Normal Immunoglobulin","english",NA
"DB00028","Immune globulin (human)","english",NA
"DB00028","Immune Globulin Intravenous","english",NA
"DB00028","Immune Globulin Subcutaneous","english",NA
"DB00028","Immunoglobulin G (human)","english",NA
"DB00028","Immunoglobulin G, Human","english",NA
"DB00028","Intravenous Immunoglobulin","english",NA
"DB00028","IVIg","english",NA
"DB00029","Anisoylated plasminogen streptokinase activator complex","english",NA
"DB00029","APSAC","english",NA
"DB00030","High molecular weight insulin human","english",NA
"DB00030","Human insulin","english",NA
"DB00030","human insulin (rDNA)","english","inn"
"DB00030","Insulin (human)","english",NA
"DB00030","Insulin human [rDNA origin]","english",NA
"DB00030","Insulin Human Regular","english",NA
"DB00030","Insulin human regular (rDNA)","english",NA
"DB00030","Insulin human, rDNA origin","english",NA
"DB00030","Insulin recombinant human","english",NA
"DB00030","Insulin recombinant purified human","english",NA
"DB00030","Insulin regular","english",NA
"DB00030","Insulin, human","english",NA
"DB00030","Insulina regular","spanish",NA
"DB00030","Regular Insulin, human","english",NA
"DB00031","Tenecteplasa","spanish",NA
"DB00031","TNK-tPA","english",NA
"DB00032","Human menopausal gonadotrophin","english",NA
"DB00032","Menotrophin","english",NA
"DB00032","Menotropin","english",NA
"DB00032","Menotropina","spanish",NA
"DB00032","Menotropins (FSH;LH)","english",NA
"DB00033","IFN-gamma 1b","english",NA
"DB00033","IFN-gamma-1b","english",NA
"DB00033","Interferon Gamma 1-b","english",NA
"DB00033","Interferon Gamma-1b","english","inn/ban/usan"
"DB00033","Interferon gamma-1b, recombinant","english",NA
"DB00033","Interferon gamma-2a","english",NA
"DB00034","Interferon alfa-2a","english",NA
"DB00034","Interferon alfa-2a (recombinant)","english",NA
"DB00034","Interferon alfa-2a, recombinant","english",NA
"DB00034","Interferon alfa-2a,recombinant","english",NA
"DB00034","Interferon alpha-2a","english",NA
"DB00034","Interferon-alfa-2a","english",NA
"DB00034","Recombinant human interferon alfa-2a","english",NA
"DB00034","Recombinant human interferon-alfa-2a","english",NA
"DB00034","rIFN-alpha-2a","english",NA
"DB00034","SH-polypeptide-46","english",NA
"DB00035","1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin","english",NA
"DB00035","1-deamino-8-D-arginine vasopressin","english",NA
"DB00035","1-desamino-8-D-arginine vasopressin","english",NA
"DB00035","dDAVP","english",NA
"DB00035","Desmopresina","spanish","inn"
"DB00035","Desmopressin","english","inn"
"DB00035","Desmopressine","french","inn"
"DB00035","Desmopressinum","latin","inn"
"DB00036","Coagulation factor VIIa","english",NA
"DB00036","Coagulation factor VIIa (recombinant)","english",NA
"DB00036","Eptacog alfa","english",NA
"DB00036","Eptacog alfa (activated)","english",NA
"DB00036","rFVIIa","english",NA
"DB00038","IL-11","english",NA
"DB00038","Interleukin 11","english",NA
"DB00038","Interleukin-11","english",NA
"DB00038","Oprelvekin","english","inn/usan"
"DB00038","Recombinant interleukin-11","english",NA
"DB00039","24-163 fibroblast growth factor 7 (human)","english",NA
"DB00039","Palifermina","spanish",NA
"DB00040","Glucagon","english","inn"
"DB00040","Glucagon (recombinant dna origin)","english",NA
"DB00040","Glucagon recombinant","english",NA
"DB00040","Glucagon, human","english",NA
"DB00040","Glucagon, porcine","english",NA
"DB00040","Glucagone","english",NA
"DB00040","Glucagonum","latin","inn"
"DB00041","125-L-serine-2-133-interleukin 2 (human reduced)","english",NA
"DB00041","Aldesleukina","spanish",NA
"DB00041","Interleukin-2 aldesleukin","english",NA
"DB00041","Interleukin-2(2-133),125-ser","english",NA
"DB00041","Recombinant interleukin-2 human","english",NA
"DB00042","Botulin B","english",NA
"DB00042","Botulinum B toxin","english",NA
"DB00042","Botulinum neurotoxin type B precursor","english",NA
"DB00042","BTX-B","english",NA
"DB00042","RimabotulinumtoxinB","english",NA
"DB00042","Toxina botulínica B","spanish",NA
"DB00044","Lutropin alfa","english","inn/usan"
"DB00044","Lutropin alpha","english",NA
"DB00044","Lutropina alfa","spanish",NA
"DB00045","Lipoprotein OspA antigen recombinant","english",NA
"DB00045","Lipoprotein outer surface a borrelia burgdorferi antigen","english",NA
"DB00045","OspA lipoprotein","english",NA
"DB00046","Insulin lispro (genetical recombination)","english",NA
"DB00046","Insulin lispro (rDNA origin)","english",NA
"DB00046","Insulin lispro protamine","english",NA
"DB00046","Insulin lispro protamine recombinant","english",NA
"DB00046","Insulin lispro recombinant","english",NA
"DB00046","Insulin,lispro,human/rDNA","english",NA
"DB00046","Insulin,lispro,protamine/rDNA","english",NA
"DB00046","Insulina lispro","spanish",NA
"DB00047","Insulin glargine","english","inn/usan"
"DB00047","Insulin Glargine (rDNA origin)","english",NA
"DB00047","Insulin glargine recombinant","english",NA
"DB00047","Insulina glargina","spanish",NA
"DB00048","Clostridium histolyticum enzymes","english",NA
"DB00048","Collagenase","english",NA
"DB00048","Collagenase clostridium histolyticum","english","usan"
"DB00049","Rasburicasa","spanish",NA
"DB00049","Rasburicase","english","inn/usan"
"DB00049","Urate oxidase","english",NA
"DB00050","Cetrorelix","english","inn"
"DB00050","Cetrorelixum","latin","inn"
"DB00051","Adalimumab (genetical recombination)","english",NA
"DB00051","adalimumab-adaz","english",NA
"DB00051","adalimumab-adbm","english",NA
"DB00051","adalimumab-atto","english",NA
"DB00052","Growth hormone","english",NA
"DB00052","Growth hormone (human)","english",NA
"DB00052","hGH","english",NA
"DB00052","Human growth hormone","english",NA
"DB00052","Recombinant human growth hormone","english",NA
"DB00052","rhGH","english",NA
"DB00052","Somatotropin (human)","english",NA
"DB00052","Somatotropin human","english",NA
"DB00052","Somatotropin human growth hormone","english",NA
"DB00052","Somatropin","english",NA
"DB00052","Somatropin (rDNA origin)","english",NA
"DB00052","Somatropin (recombinant DNA origin)","english",NA
"DB00052","Somatropin [rDNA origin]","english",NA
"DB00052","Somatropin recombinant","english",NA
"DB00052","Somatropin(recombinant DNA origin)","english",NA
"DB00052","Somatropina","spanish",NA
"DB00053","Imiglucerasa","spanish",NA
"DB00054","Abciximab","english","inn/usan"
"DB00054","Abciximab (genetical recombination)","english",NA
"DB00054","c7E3","english",NA
"DB00055","Activated protein C","english",NA
"DB00055","Blood coagulation factor XIV (human)","english",NA
"DB00055","Drotrecogin alfa (activated)","english",NA
"DB00055","Drotrecogin alfa (activated), lyophilized","english",NA
"DB00055","Drotrecogin alfa activated","english",NA
"DB00055","Drotrecogin alfa, activated","english",NA
"DB00055","Drotrecogin-alfa","english",NA
"DB00055","Recombinant human activated protein C (rH-APC)","english",NA
"DB00057","Indium (111In) satumomab pendetide","english",NA
"DB00057","Indium In 111 satumomab pendetide","english",NA
"DB00057","Indium-111 satumomab pendetide","english",NA
"DB00058","Alfa-1-antitripsina","spanish",NA
"DB00058","Alfa1 antitrypsin","english",NA
"DB00058","Alpha 1-antitrypsin","english",NA
"DB00058","Alpha 1-Proteinase Inhibitor","english",NA
"DB00058","Alpha 1-proteinase inhibitor (human)","english",NA
"DB00058","Alpha 1-proteinase inhibitor, human","english",NA
"DB00058","Alpha-1 protease inhibitor","english",NA
"DB00058","Alpha-1 proteinase inhibitor (human)","english",NA
"DB00058","Alpha-1-antiproteinase","english",NA
"DB00058","Alpha-1-antitrypsin","english",NA
"DB00058","Alpha-1-proteinase Inhibitor (human)","english",NA
"DB00058","Alpha-1-proteinase inhibitor human","english",NA
"DB00058","Alpha-1-proteinase Inhibitor, Human","english",NA
"DB00058","Alpha-1-proteinase inhibitor,human","english",NA
"DB00058","Alpha1-proteinase Inhibitor","english",NA
"DB00058","Alpha1-proteinase inhibitor (human)","english",NA
"DB00058","alpha1-proteinase inhibitor human","english",NA
"DB00058","API","english",NA
"DB00059","Peg-asparaginase","english",NA
"DB00059","Peg/L-asparaginase","english",NA
"DB00059","Pegaspargasa","spanish",NA
"DB00060","Interferon beta 1-a","english",NA
"DB00060","Interferon beta 1a","english",NA
"DB00060","Interferon beta-1a (recombinant human)","english",NA
"DB00060","Interferon beta-1a,recombinant","english",NA
"DB00060","Interferon-beta-1a","english",NA
"DB00061","(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase","english",NA
"DB00061","PEG-adenosine deaminase","english",NA
"DB00061","pegADA","english",NA
"DB00061","Pegademase","english","inn"
"DB00061","Pegademase bovine","english",NA
"DB00062","Albumin (human)","english",NA
"DB00062","Albumin human","english",NA
"DB00062","Albumin, blood","english",NA
"DB00062","Albumin, human","english",NA
"DB00062","Albumin, human-kjda","english",NA
"DB00062","Human albumin","english",NA
"DB00062","Serum albumin","english",NA
"DB00063","Eptifibatida","spanish",NA
"DB00063","Eptifibatide","english","inn/ban"
"DB00063","Integrelin","english",NA
"DB00063","Intrifiban","english",NA
"DB00065","Infliximab (genetical recombination)","english",NA
"DB00065","Infliximab-abda","english",NA
"DB00065","Infliximab-dyyb","english",NA
"DB00065","Infliximab-qbtx","english",NA
"DB00066","Folitropina alfa","spanish",NA
"DB00066","Folitropina beta","spanish",NA
"DB00066","Folitropina delta","spanish",NA
"DB00066","Follicle stimulating hormone","english",NA
"DB00066","Follitrophin alfa","english",NA
"DB00066","Follitrophin alpha","english",NA
"DB00066","Follitrophin beta","english",NA
"DB00066","Follitropin alfa","english",NA
"DB00066","Follitropin alfa/beta","english",NA
"DB00066","Follitropin alpha","english",NA
"DB00066","Follitropin beta","english",NA
"DB00066","Follitropin delta","english",NA
"DB00066","Follitropin gamma","english",NA
"DB00066","Follotropin recombinant","english",NA
"DB00066","FSH","english",NA
"DB00066","FSH alpha","english",NA
"DB00066","FSH-a","english",NA
"DB00066","FSH-b","english",NA
"DB00066","FSH-beta","english",NA
"DB00066","Recombinant human follicle stimulating hormone beta","english",NA
"DB00066","Recombinant human follicle-stimulating hormone (r-HFSH)","english",NA
"DB00066","rFSH-alpha","english",NA
"DB00067","Vasopressin, unspecified","english",NA
"DB00067","Vasopressina","spanish",NA
"DB00068","Interferon beta 1b (recombinant)","english",NA
"DB00068","Interferon beta-1b,recombinant","english",NA
"DB00068","Interferon-beta-1b","english",NA
"DB00068","Recombinant interferon beta-1b","english",NA
"DB00069","IFN Alfacon-1","english",NA
"DB00069","IFN-Con1","english",NA
"DB00069","Interferon alfacon-1","english","inn/usan"
"DB00070","Hyaluronidase (glycoprotein, sheep testis isoenzyme)","english",NA
"DB00070","Hyaluronidase (ovine)","english","inn/ban/jan/usan/usp"
"DB00070","Hyaluronidase (sheep testis isoenzyme)","english",NA
"DB00070","Hyaluronidase, ovine","english",NA
"DB00070","Ovine hyaluronidase","english",NA
"DB00071","Insulin (pork)","english",NA
"DB00071","Insulin porcine","english",NA
"DB00071","Insulin purified porcine","english",NA
"DB00071","Insulin purified pork","english",NA
"DB00071","Insulin, porcine","english",NA
"DB00071","Insulin, regular, pork","english",NA
"DB00071","Porcine insulin","english",NA
"DB00072","RHUMAB HER2","english",NA
"DB00072","trastuzumab-anns","english",NA
"DB00072","trastuzumab-dkst","english",NA
"DB00072","trastuzumab-dttb","english",NA
"DB00072","trastuzumab-pkrb","english",NA
"DB00072","trastuzumab-qyyp","english",NA
"DB00073","rituximab-abbs","english",NA
"DB00074","Basiliximab","english","inn/usan"
"DB00075","Anti-CD3","english",NA
"DB00075","Muromonab-CD3","english",NA
"DB00076","Digitalis antitoxin","english",NA
"DB00076","Digoxin Immune Fab, Ovine","english",NA
"DB00076","Digoxin-specific Antibody Fragments","english",NA
"DB00076","Ovine digoxin immune fab","english",NA
"DB00078","Ibritumomab","english",NA
"DB00078","mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)","english",NA
"DB00080","daptomicina","spanish","inn"
"DB00080","Daptomycin","english","inn/usan"
"DB00083","AbobotulinumtoxinA","english",NA
"DB00083","Botulinum A neurotoxin","english",NA
"DB00083","Botulinum toxin A","english",NA
"DB00083","Botulinum toxin type A","english","jan"
"DB00083","BTX-A","english",NA
"DB00083","Evabotulinumtoxina","english",NA
"DB00083","IncobotulinumtoxinA","english",NA
"DB00083","OnabotulinumtoxinA","english",NA
"DB00083","Prabotulinumtoxin A","english",NA
"DB00083","Toxina botulínica A","spanish",NA
"DB00083","Toxine botulinique A","french",NA
"DB00085","Pancrealipase","english",NA
"DB00085","Pancreatic extract pancrelipase","english",NA
"DB00085","Pancreatic protease","english",NA
"DB00085","Pancreatin","english",NA
"DB00085","Pancreatinum","latin",NA
"DB00085","Pancrelipase (amylase;lipase;protease)","english",NA
"DB00086","Estreptoquinasa","latin","inn"
"DB00086","Streptochinasi","italian",NA
"DB00086","Streptococcal fibrinolysin","english",NA
"DB00086","Streptokinase","english","inn/ban"
"DB00086","Streptokinasum","latin","inn"
"DB00089","(111In)-Capromab pendetide","english",NA
"DB00089","Indium (111In) capromab pendetide","english",NA
"DB00089","Indium 111 Capromab Pendetide","english",NA
"DB00089","Indium In 111 capromab pendetide","english",NA
"DB00090","alpha-L-Idosiduronase","english",NA
"DB00090","Human Recombinant alpha-L-iduronidase","english",NA
"DB00090","Laronidasa","spanish",NA
"DB00090","Laronidase","english","inn/usan"
"DB00090","Laronidase (genetical recombination)","english",NA
"DB00091","Ciclosporin","english","inn"
"DB00091","Ciclosporina","spanish","inn"
"DB00091","Ciclosporine","french","inn"
"DB00091","Ciclosporinum","latin","inn"
"DB00091","CsA","english",NA
"DB00091","CyA","english",NA
"DB00091","Cyclosporin","english",NA
"DB00091","Cyclosporin A","english",NA
"DB00091","Cyclosporine","english","usan"
"DB00093","2-(L-phenylalanine)-8-L-lysinevasopressin","english",NA
"DB00093","Felipresina","spanish","inn"
"DB00093","Felypressin","english","inn/ban/usan"
"DB00093","Felypressine","french","inn"
"DB00093","Felypressinum","latin","inn"
"DB00093","PLV-2","english",NA
"DB00094","Follitropin human","english",NA
"DB00094","Urofollitrophin","english",NA
"DB00095","anti-CD11a","english",NA
"DB00095","antiCD11 alpha","english",NA
"DB00095","Efalizumab","english","inn/usan"
"DB00097","Choriogonadotropin alpha","english",NA
"DB00097","Chorionic gonadotropin (recombinant)","english",NA
"DB00098","Anti-human thymocyte immunoglobulin, rabbit","english",NA
"DB00098","Anti-T-lymphocyte immune globulin, rabbit","english",NA
"DB00098","Anti-thymocyte globulin (rabbit)","english",NA
"DB00098","Anti-thymocyte globulin rabbit","english",NA
"DB00098","Antithymocyte immunoglobulin","english",NA
"DB00098","Lapine T-lymphocyte immune globulin","english",NA
"DB00098","Rabbit anti-human thymocyte globulin","english",NA
"DB00098","Rabbit anti-human thymocyte globulin (rATG)","english",NA
"DB00098","Rabbit anti-human thymocyte immunoglobulin","english",NA
"DB00098","Rabbit anti-thymocyte immunoglobulin","english",NA
"DB00098","Rabbit antithymocyte globulin","english",NA
"DB00098","Rabbit ATG","english",NA
"DB00098","rATG","english",NA
"DB00098","Thymoglobulin","english",NA
"DB00098","Thymoglobuline","english",NA
"DB00099","Filgrastim-aafi","english",NA
"DB00099","Filgrastim-sndz","english",NA
"DB00099","G-CSF","english",NA
"DB00099","Granulocyte Colony Stimulating Factor","english",NA
"DB00099","Tbo-filgrastim","english",NA
"DB00100","Coagulation factor IX (recombinant)","english",NA
"DB00100","Coagulation factor IX recombinant human","english",NA
"DB00100","Factor IX (Recombinant)","english",NA
"DB00100","nonacog alfa","english",NA
"DB00100","nonacog gamma","english",NA
"DB00100","Recombinant factor IX","english",NA
"DB00102","Becaplermin","english","inn/usan"
"DB00102","PDGF-2","english",NA
"DB00102","PDGF-BB","english",NA
"DB00102","PDGFB","english",NA
"DB00102","Platelet-derived growth factor BB, recombinant","english",NA
"DB00102","Platelet-derived growth factor beta polypeptide","english",NA
"DB00102","Recombinant platelet-derived growth factor BB","english",NA
"DB00102","rhPDGF-BB","english",NA
"DB00102","rPDGF-BB","english",NA
"DB00102","SH-POLYPEPTIDE-59","english",NA
"DB00103","Agalsidasa alfa","spanish",NA
"DB00103","Agalsidasa beta","spanish",NA
"DB00103","Agalsidase alfa","english","inn/usan"
"DB00103","Alpha-galactosidase A","english",NA
"DB00104","Octreotida","spanish",NA
"DB00104","Octreotide","english","inn/usan"
"DB00104","Octreotidum","latin",NA
"DB00104","Octrotide","english",NA
"DB00105","Interferon alfa-2b","english","inn/usan"
"DB00105","Interferon alfa-2b, recombinant","english",NA
"DB00105","Interferon alpha-2B","english",NA
"DB00105","Interferon a-2b","english",NA
"DB00105","Intron (Interferon a2b)","english",NA
"DB00105","Intron A","english",NA
"DB00105","Intron A (Interferon a2b)","english",NA
"DB00105","r-INF-alpha","english",NA
"DB00105","rIFN-alpha-2b","english",NA
"DB00106","Abarelix","english","inn"
"DB00107","Oxitocina","spanish",NA
"DB00107","Oxytocin","english","inn"
"DB00108","Anti-alpha4 integrin","english",NA
"DB00108","Anti-VLA4","english",NA
"DB00109","Enfuvirtida","spanish",NA
"DB00110","Palivizumab","english","inn/ban/usan"
"DB00111","Dacliximab","english",NA
"DB00111","Daclizumab beta","english",NA
"DB00112","Anti-VEGF Humanized Monoclonal Antibody","english",NA
"DB00112","Anti-VEGF monoclonal antibody","english",NA
"DB00112","Bevacizumab","english","inn/usan"
"DB00112","bevacizumab-awwb","english",NA
"DB00112","rhuMAb-VEGF","english",NA
"DB00113","Arcitumomab technetium-99m","english",NA
"DB00113","Technetium (99mTc) arcitumomab","english",NA
"DB00113","Technetium Tc 99m arcitumomab","english",NA
"DB00113","Technetium-99m arcitumomab","english",NA
"DB00114","3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde","english",NA
"DB00114","3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate","english",NA
"DB00114","Codecarboxylase","english",NA
"DB00114","PLP","english",NA
"DB00114","Pyridoxal 5-monophosphoric acid ester","english",NA
"DB00114","Pyridoxal 5-phosphate","english",NA
"DB00114","Pyridoxal 5'-phosphate","english",NA
"DB00114","Pyridoxal P","english",NA
"DB00114","Pyridoxal phosphate anhydrous","english",NA
"DB00114","Pyridoxal-5P","english",NA
"DB00114","Pyridoxal-P","english",NA
"DB00115","Cianocobalamina","spanish",NA
"DB00115","Cyanocob(III)alamin","english",NA
"DB00115","Cyanocobalamin","english","inn"
"DB00115","Vitamin B12","english",NA
"DB00115","Vitamin B12 complex","english",NA
"DB00115","Vitamin B12 NOS","english",NA
"DB00116","5,6,7,8-tetrahydrofolate","english",NA
"DB00116","5,6,7,8-tetrahydrofolic acid","english",NA
"DB00116","Tetrahydrofolate","english",NA
"DB00117","(S)-4-(2-Amino-2-carboxyethyl)imidazole","english",NA
"DB00117","(S)-a-Amino-1H-imidazole-4-propanoic acid","english",NA
"DB00117","(S)-alpha-amino-1H-Imidazole-4-propanoic acid","english",NA
"DB00117","(S)-alpha-Amino-1H-imidazole-4-propionic acid","english",NA
"DB00117","(S)-a-amino-1H-Imidazole-4-propanoic acid","english",NA
"DB00117","HIS","english",NA
"DB00117","Histidina","spanish",NA
"DB00117","Histidine","english","inn/usan"
"DB00117","L-(-)-histidine","english",NA
"DB00117","L-Histidin","english",NA
"DB00117","L-Histidine","english",NA
"DB00118","AdoMet","english",NA
"DB00118","S-Adenosylmethionine","english",NA
"DB00118","SAM","english",NA
"DB00118","SAM-e","english",NA
"DB00118","SAMe","english",NA
"DB00119","2-ketopropionic acid","english",NA
"DB00119","2-oxopropanoic acid","english",NA
"DB00119","2-Oxopropansäure","german",NA
"DB00119","2-Oxopropionsäure","german",NA
"DB00119","a-Ketopropionic acid","english",NA
"DB00119","Acetylformic acid","english",NA
"DB00119","acide pyruvique","french",NA
"DB00119","alpha-ketopropionic acid","english",NA
"DB00119","Brenztraubensäure","german",NA
"DB00119","BTS","english",NA
"DB00119","Pyroracemic acid","english",NA
"DB00119","a-ketopropionic acid","english",NA
"DB00119","a-Oxopropionsäure","german",NA
"DB00120","(S)-2-Amino-3-phenylpropionic acid","english",NA
"DB00120","(S)-alpha-Amino-beta-phenylpropionic acid","english",NA
"DB00120","3-phenyl-L-alanine","english",NA
"DB00120","beta-Phenyl-L-alanine","english",NA
"DB00120","F","english",NA
"DB00120","Phe","english",NA
"DB00120","Phenylalanine","english",NA
"DB00120","ß-phenyl-L-alanine","english",NA
"DB00121","(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid","english",NA
"DB00121","(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid","english",NA
"DB00121","5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid","english",NA
"DB00121","Biotin","english","inn/usp"
"DB00121","Biotina","spanish","inn"
"DB00121","Biotine","french","inn"
"DB00121","Biotinum","latin","inn"
"DB00121","cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid","english",NA
"DB00121","cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid","english",NA
"DB00121","cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid","english",NA
"DB00121","Coenzyme R","english",NA
"DB00121","D-(+)-biotin","english",NA
"DB00121","D-Biotin","english",NA
"DB00121","Vitamin B7","english",NA
"DB00121","Vitamin H","english",NA
