lastname,address,phone,specialties
"OA Priv. Doz. Dr. Nikolaus Duschek, PhD","Schottengasse 7/5, 1010 Wien",01/236 13 36,"Hautarzt | Hautarzt, Allgemeinchirurg"
Dr. Heidemarie Schön,"Ledererhof 7/2, 1010 Wien",01/513 68 76,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Roberto Reimann,"Kohlmarkt 5, 1010 Wien",01/5326272,"Hautarzt | Hautarzt,Wahlarzt"
Priv.Doz. Dr. Wolfgang Pöppl,"Schreyvogelgasse 3, 1010 Wien",0664/2282895,"Hautarzt | Hautarzt,Wahlarzt"
MUDr. Slavomira Feix,"Naglergasse 11, 1010 Wien",01/535 465 70,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Prof. Dr. Eva Maria Kokoschka,"Graben 27-28/2/Top 23, 1010 Wien",01/406 11 38,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Arno Seeber,"Freyung 6, 1010 Wien",01/535 64 64-8000,"Hautarzt | Hautarzt,Wahlarzt"
Univ.Prof. Dr. Alexandra Geusau,"Freyung 6, 1010 Wien",01/535 64 64,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Michael Palatin,"Rotenturmstraße 1/12, 1010 Wien",01/532 24 44,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Andreas Schindl,"Schreyvogelgasse 4/3, 1010 Wien",0676/370 68 40,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Judith Hutterer,"Blutgasse 5, 1010 Wien",01/512 28 21,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Lesanka Mickel,"Babenbergstraße 9/18, 1010 Wien",01/9346820,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ursula Zierhofer-Tonar,"Wollzeile 1/1/4/4.5, 1010 Wien",0664/308 76 99,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Doris Grablowitz,"Seilerstätte 7/ 3.Etage, 1010 Wien",01/512 91 92,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Markus Dawid,"Schottengasse 3-3a/1/42, 1010 Wien",01/533 92 14,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Leo Richter,"Kärtner Straße 51/3A, 1010 Wien",0660/1698090,Hautarzt
Dr. Julia Lämmerhirt,"Opernring 4/1/7, 1010 Wien",0699/132 626 91,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Christine Bangert,"Trattnerhof 2, 1010 Wien",01/2363020,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Marietta Weinmann,"Stoß im Himmel 3/1/3 (Eingang: Passauer Platz 1), 1010 Wien",0676/88771311,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. med. univ. Nadine Mothes-Luksch,"Wollzeile 12/2/33, 1010 Wien",01/345 10 10,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Sibylle Wichlas,"Trattnerhof 2/106-108, 1010 Wien",01/2363020,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Golnaz Delir,"Goldenes Quartier, Seitzergasse 2-4, 1010 Wien",01/3582893,Hautärztin
Dr. Verena Beck,"Rosengasse 8/2, 1010 Wien",0664/9271271,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
DDr. Martin Torzicky,"Mahlerstraße 7/15, 1010 Wien",01/2806888,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Mag. Dr. Elke Janig,"Goldenes Quartier, Seitzergasse 2-4, 1010 Wien",01/3582893,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Ao. Univ.Prof. Dr. Tamara Kopp,"Trattnerhof 2/106-108, 1010 Wien",01/2363020,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Kaan Harmankaya,"Palais Kinsky, Freyung 4/17,  3. Stock, 1010 Wien",01/532 04 79,"Hautarzt | Hautarzt,Privat"
Dr. Katja Schindler,"Goethegasse 3/3D, 1010 Wien",0660/6918713,"Hautärztin | Hautärztin, Schwerpunkt: Ästhetische Medizin,Wahlärztin u. Privat"
Dr. Kathrin Güven,"Baumannstraße 4/6, 1030 Wien",01/713 73 78,"Hautärztin | Hautärztin, Angiologin"
Dr. Nikolaus Lilgenau,"Wassergasse 14/13, 1030 Wien",01/7140432,Hautarzt
Dr. Eva Maria Kindermann-Glebowski,"Beatrixgasse 16/6, 1030 Wien",01/7126477,Hautärztin
Dr. Parissa Mastan,"Landstraßer Hauptstraße 123/5, 1030 Wien",01/712 31 72,Hautärztin
Dr. Karla Roka,"Marxergasse 7/10, 1030 Wien",01/7137084,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Prof. Dr. Florian Roka,"Marxergasse 7/10, 1030 Wien",01/713 70 84,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Igor Vujic,"Hintzerstraße 10/6, 1030 Wien",01/710 3826,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Babak Adib,"Am Heumarkt 3/1/16, 1030 Wien",0676/3641042,"Hautarzt | Hautarzt,Privat"
"Prim. Dr. Gerhard Mooseder, ObstA","Göllnergasse 2-4/2/13, 1030 Wien",0676/597 47 22,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Alexandra Wanka,"Erdbergstraße 52-60/Stiege 2/Top1a, 1030 Wien",0660/1133886,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Nikolaus Schaumann,"Beatrixgasse 3A/11, 1030 Wien",0676/5166638,"Hautarzt | Hautarzt, Praktischer Arzt,Wahlarzt"
Univ.Prof. Dr. Kurt Walter Mach,"Brucknerstraße 4, 1040 Wien",01/5057455,"Hautarzt | Hautarzt, Labordiagnostiker,Wahlarzt"
Dr. Gerhard Lindeck-Pozza,"Südtiroler Platz 2/11/17, 1040 Wien",01/5034110,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Lorenz Reiterer,"Blechturmgasse 26/6, 1040 Wien",01/505 34 83,Hautarzt
Dr. Shahrouz Noori,"Gußhausstraße 10/21, 1040 Wien",01 / 9928427,Hautarzt
OMR Dr. Wilhelm Brenner,"Margaretenstraße 72, 1050 Wien",01/586 61 61,Hautarzt
Dr. Rolf Gregor Fialla,"Bürgerspitalgasse 21/7, 1060 Wien",01/596 23 77,Hautarzt
Dr. Gabriele Hobisch,"Linke Wienzeile 6/11, 1060 Wien",01/5863204,Hautärztin
Univ.Doz. Dr. Harald Maier,"Mariahilfer Straße 89a/25, 1060 Wien",01/585 34 40,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Ligia Teban-Bedenicki,"Mariahilfer Straße 115, 1060 Wien",01/596 34 06,Hautärztin
Dr. Johanna Latzka,"Gumpendorfer Straße 95/9, 1060 Wien",01/2662191,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Antonia Weinstabl-Schuh,"Otto-Bauer-Gasse 15/8, 1060 Wien",01/595 35 00,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Paul Leyen,"Gumpendorfer Straße 18/14, 1060 Wien",01/5814770,"Hautarzt | Hautarzt, Schwerpunkt: Ästhetische Medizin, Infektiologe u. Tropenmediziner,Wahlarzt u. Privat"
Dr. Margit Meidinger,"Mariahilfer Straße 95/1/19, 3.Stock, 1060 Wien",01 / 99 744 81,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ines Bonelli,"Mariahilferstrasse 47/5/10, 1060 Wien",01/5811619,"Hautärztin | Hautärztin,Wahlärztin"
Ao.Univ.Prof. Dr. Adrian N. Tanew-Ilitschew,"Lerchenfelder Straße 125/7, 1070 Wien",0699/182 30 046,"Hautarzt | Hautarzt,Wahlarzt"
Priv.Doz. Dr. Sonja Radakovic,"Lerchenfelder Straße 125/7, 1070 Wien",0699/12400524,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Alice Pinc,"Stiftgasse 21/17, 1070 Wien",0699/18 10 34 95,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Gerold Lang,"Gutenberggasse 7/1, 1070 Wien",01/522 39 30 ,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Ingrid Kaltenegger,"Lindengasse 37 Tür 7, 1070 Wien",01/890 54 22,Hautärztin
Dr. Julia García Reitböck,"Mariahilfer Straße 114/ Stiege 2/ Top 2, 1070 Wien",01/36 19 939,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Markus Kristen,"Lindengasse 37/8, 1070 Wien",01/524 97 97,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Hubert Carl Wilfert,"Kaiserstraße 62/6, 1070 Wien",01/52337990,Hautarzt
OA Dr. Alexander Trost,"Schottenfeldgasse 45, 1070 Wien",0660/8863688,Hautarzt
OA Dr. Andreas Stepan,"Mariahilfer Straße 62/25, 1070 Wien",0699/12732435,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Univ.Prof. Dr. Andreas Steiner,"Bennoplatz 5, 1080 Wien",01/407 09 10,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
OÄ Dr. Claudia Hock,"Lederergasse 2/6, 1080 Wien",0664/3641354,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Univ.Prof. Dr. Sanja Schuller-Petrovic,"Alser Straße 47/20, 1080 Wien",01/402 15 16,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Katja Schindler,"Skodagasse 32, 1080 Wien",0660/6918713,"Hautärztin | Hautärztin, Schwerpunkt: Ästhetische Medizin,Wahlärztin u. Privat"
Univ.Prof. Dr. Robert Loewe,"Skodagasse 32, 1080 Wien",01/40114-5701,"Hautarzt | Hautarzt,Wahlarzt"
Univ.Prof. Dr. Ichiro Okamoto,"Skodagasse 32, 1080 Wien",01/401145701,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Jirina Bodnar,"Josefstädter Straße 3/1/4/5, 1080 Wien",01/4069941,Hautärztin
Dr. Azadeh Tajmir-Riahi,"Josefstädter Straße 51, 1080 Wien",0678/131 35 47,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Nadine Reiter,"Lange Gasse 67/9, 1080 Wien",01/4020585,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Daniela Wechdorn,"Bennoplatz 5/8, 1080 Wien",01/4083799,Hautärztin
Dr. Spiro Silvester Schuller,"Alser Straße 47/20, 1080 Wien",01/4086733,"Hautarzt | Hautarzt, Schwerpunkt: Ästhetische Medizin,Wahlarzt u. Privat"
Oberarzt Dr. Peter Maximilian Heil,"Josefstädter Straße 101/25-26, 1080 Wien",0664/73106976,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Univ.Doz. Dr. Kornelia Böhler-Sommeregger,"Severingasse 1/4, 1090 Wien",0664/308 23 75,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Christa Forstinger,"Seegasse 2/5, 1090 Wien",01/319 90 20,"Hautärztin | Hautärztin, Angiologin"
Univ.Prof. Dr. Klaus Wolff,"Günthergasse 1, 1090 Wien",01/406 41 83,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Nicolaus Sandor,"Nußdorfer Straße 20/II/19, 1090 Wien",01/319 56 55,Hautarzt
Dr. Magdalena Baumgartner,"Sensengasse 3/1, 1090 Wien",01/406 11 21-560,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Katharina Spängler,"Garnisongasse 7/13, 1090 Wien",01/4022222,"Hautärztin | Hautärztin,Wahlärztin"
Ao. Univ.-Prof. Dr. Elisabeth Riedl,"Mariannengasse 24/1/5, 1090 Wien",01/405 46 54,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Detlev Pirkhammer,"Berggasse 4/9, 1090 Wien",01/409 49 86,Hautarzt
OA Priv.Doz. Dr. Christine Hafner,"Sensengasse 3, 1090 Wien",01/406 112 12 22,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Felix Weihsengruber,"Günthergasse 2/6, 1090 Wien",01/406 07 88,"Hautarzt | Hautarzt,Wahlarzt"
Assoc. Prof. Priv. Doz. Dr. Stanislava Tzaneva,"Severingasse 1/4, 1090 Wien",0699/118 886 59,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Josef Mahra,"Liechtensteinstraße 143-145/20, 1090 Wien",01/402 49 62,"Hautarzt | Hautarzt,Wahlarzt"
Univ.Prof. Dr. med. univ. Georg Stingl,"Lazarettgasse 25 / 1. Stock, 1090 Wien",01/401801550,"Hautarzt | Hautarzt, Immunologe,Wahlarzt"
Univ.Prof. Dr. Harald Kittler,"Mariannengasse 24/1/5, 1090 Wien",01/405 46 54,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Istvan Sandor,"Nußdorfer Straße 20/II/19, 1090 Wien",01/319 56 55,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Beatrix Szimák - Hupfer,"Lazarettgasse 25 / 2.Stock, 1090 Wien",01/3688448,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Andrea Weihsengruber,"Günthergasse 2/6, 1090 Wien",01/406 07 88,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Dr. Dorota Steffanson,"Spitalgasse 1a, 1090 Wien",01/4063499,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Hannes Trattner,"Währinger Straße 39, 1090 Wien",01/358 83 40,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Barbara Franz,"Kolingasse 15/1, 1090 Wien",01/3480333,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Alexander Lendel,"Niederhofstraße 39, 1120 Wien",01/8174993,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Martin Fuchsbauer,"Schönbrunner Straße 153, 1120 Wien",01/990 51 65,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Markus Neumann,"Arndtstraße 77/2, 1120 Wien",01/8105470,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Friedrich Anton Brauner,"Edelsinnstraße 8, 1120 Wien",01/813 10 03,Hautarzt
Dr. Eva Zonzits,"Schöpfwerk 64/14/1, 1120 Wien",01/662 24 03,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Maria Anna Pelzl,"Eichenstraße 20, 1120 Wien",01/8101313,Hautärztin
Dr. Sabine Schwarz,"Niederhofstraße 39, 1120 Wien",01/8174993,Hautärztin
Dr. Jakob Schnedl,"Schallergasse 37/1-4, 1120 Wien",01/890 35 70,Hautarzt
Dr. Wolfgang Mayer,"Ada Christen-Gasse 2/C/4/20 - Eingang Stiege D, 1100 Wien",01/688 21 93,"Hautarzt | Hautarzt, Angiologe"
MR Dr. Christine Ziegler,"Columbusplatz 7-8/2/4. Stock, 1100 Wien",01/6065656,Hautärztin
Dr. Philipp Feuerstein,"Laxenburger Straße 28/2/25, 1100 Wien",01/6002232,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Michael Steyrer,"Quellenplatz 4, 1100 Wien",01/604 83 00,Hautarzt
Priv.Doz. Dr. Christina Kukacka,"Senefeldergasse 5, 1100 Wien",01/6043553,Hautärztin
Dr. Peter Duschet,"Hintschiggasse 3/2/1, 1100 Wien",01/6150808,Hautarzt
Dr. Isolde Göttfried,"Favoritenstraße 141, 1100 Wien",01/600 82 00,Hautärztin
Dr. Henriette Holub-Hoberger,"Landgutgasse 36/2, 1100 Wien",01/890 07 19,Hautärztin
Dr. Florian Freyschlag,"Antonie-Alt-Gasse 6/2/1, 1100 Wien",01/6040400,Hautarzt
Dr. Bernadette Vago,"Rotenhofgasse 14, 1100 Wien",01/6030999,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Johannes Bisschoff,"Gertrude-Fröhlich-Sandner-Straße 13/1, 1100 Wien",0676/682 83 44,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Marlies Wruhs,"Linzer Straße 385/3, 1140 Wien",01/911 39 05 13,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Michael Hörner,"Hütteldorfer Straße 117/9, 1140 Wien",01/789 26 54,Hautarzt
Dr. Marianne Wruhs,"Linzer Straße 385/3, 1140 Wien",01/9113905,Hautärztin
Dr. Sebastian Reischle,"Hütteldorfer Straße 355/2, 1140 Wien",01/9148348,Hautarzt
Mag. Dr. Helga Löw-Weiser,"St. Veit-Gasse 56/2/2, 1130 Wien",01/890 49 27,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Johannes Raff,"Hietzinger Kai 169, 1130 Wien",0660 / 7410988,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Univ.Prof. Dr. Gabriele Hinterhuber,"Lainzer Straße 132C/5, 1130 Wien",01/932 22 20,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Nicole Herzog,"Hietzinger Kai 169/ Top 202, 1130 Wien",01/8770479,"Hautärztin | Hautärztin, Angiologin"
Dr. Claudia Heller-Vitouch,"Lainzerstraße 58, 1130 Wien",01/879 06 23,Hautärztin
OA Dr. Armin Rieger,"St.-Veit-Gasse 1, 1130 Wien",0664/9200819,"Hautarzt | Hautarzt,Wahlarzt"
Assoc. Prof. Priv. Doz. Dr. Constanze Jonak,"Hietzinger Hauptstraße 45/1, 1130 Wien",0664/2448384,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ulrike Mossbacher,"St. Veitgasse 1, 1130 Wien",0664/3802298,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Robert Feldmann,"Veitingergasse 20, 1130 Wien",01/879 42 40,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Patricia Gill-Figwer,"Lainzer Straße 139, 1130 Wien",01/804 55 03,Hautärztin
Dr. Clemens Frisee,"Hietzinger Hauptstrasse 116/4, 1130 Wien",01/876 35 48,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Martina Binder,"Dommayergasse 2, 1130 Wien",01/5321011,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Reinhard Decker,"Dommayergasse 8, 1130 Wien",01/8772676,Hautarzt
Dr. Isabella Arnoldner,"Altgasse 11, 1130 Wien",0699/138 122 77 ,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Martin Mosleh,"Elisabethallee 61-63, 1130 Wien",0660/4283875,Hautarzt
OÄ Dr. Alina Roda Weiß,"Auhofstraße 123/5, 1130 Wien",0699/10 83 62 80,"Hautärztin | Hautärztin,Wahlärztin"
Priv.-Doz. Dr. med. Rainer Hügel,"Wattmanngasse 13, Top 1, 1130 Wien",0699/19250423,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Christian Tögl,"Johnstraße 33/9, 1150 Wien",01/985 43 03,"Hautarzt | Hautarzt, Angiologe"
Dr. Felix Mayer,"Schweglerstraße 8/2, 1150 Wien",01/98 20 144,"Hautarzt | Hautarzt,Wahlarzt"
DI DDr. Andreas Lindmaier,"Henriettenplatz 5/6, 1150 Wien",01/8932526,Hautarzt
Dr. Eva Eggl-Tyl,"Märzstraße 49, 1150 Wien",01/982 46 40,Hautärztin
Dr. Elisabeth Weeger-Marek,"Mariahilfer Straße 147/9, 1150 Wien",0650/544 70 60,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Gabriele Demschik,"Gablenzgasse 7-11, 1150 Wien",01/982 93 90,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Margot Püspök-Schwarz,"Ottakringer Straße 151/Top 1-3, 1160 Wien",01/492 00 55,"Hautärztin | Hautärztin, Angiologin"
Dr. Elisabeth Sorger,"Neulerchenfelderstraße 17, 1160 Wien",01/4063636,Hautärztin
Dr. Dragana Reljic,"Herbststraße 26, 1160 Wien",01/409 12 32,Hautärztin
Dr. Karin Jahn-Bassler,"Schumanngasse 84, 1170 Wien",01/4803010,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Aglaja Weihs-Zuckermann,"Hormayrgasse 7a, 1170 Wien",01/485 59 82,"Hautärztin | Hautärztin, Angiologin"
Dr. Norbert Kohrgruber,"Rupertusplatz 3, 1170 Wien",01/4804080,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Matthias Sittenthaler,"Gilmgasse 5, 1170 Wien",01/4860393,"Hautarzt | Hautarzt, Schwerpunkt: Ästhetische Medizin, Angiologe"
Dr. Catherine Rebecca Sieghart,"Vollbadgasse 1A, 1170 Wien",0699/11968023,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Joachim Nordberg,"Dornbacher Straße 21/1/1D/14, 1170 Wien",01/4840884,Hautarzt
Dr. Kerstin Ortlechner,"Wattgasse 48/2.Stock, 1170 Wien",0676/3526663,"Hautärztin | Hautärztin, Praktische Ärztin,Wahlärztin"
Dr. Charlotte Grillitsch,"Neuwaldegger Straße 2, 1170 Wien",01/4802494,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Priv.-Doz. Dr. Silvia Wessely,"Neuwaldegger Straße 2, 1170 Wien",0676/4006464,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Prof. Dr. Hubert Pehamberger,"Währinger Straße 132A/10, 1180 Wien",01/4707088,"Hautarzt | Hautarzt, Humangenetiker, Angiologe,Wahlarzt"
Dr. Barbara Sammernegg,"Gersthofer Straße 125-129/3/1/1, 1180 Wien",01/479 34 55,"Hautärztin | Hautärztin, Angiologin"
Dr. Gabriele Hienert,"Gentzgasse 20/Stiege 5/Tür 4, 1180 Wien",01/479 69 26,"Hautärztin | Hautärztin, Angiologin"
Dr. Bernhard Partsch,"Martinstraße 1, 1180 Wien",01/405 14 47,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Univ.Prof. Dr. Herbert Hönigsmann,"Herbeckstraße 67, 1180 Wien",01/4798266,"Hautarzt | Hautarzt,Wahlarzt"
Univ.Doz. Dr. Helmut Lindemayr,"Scheibenbergstraße 65/3, 1180 Wien",01/4794151,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Manfred Kremser,"Schöffelgasse 6/6, 1180 Wien",01/4700614,"Hautarzt | Hautarzt,Wahlarzt"
Univ.Prof. Dr. Christoph Höller,"Währinger Straße 115/14, 1180 Wien",0650/7227229,"Hautarzt | Hautarzt,Wahlarzt"
OÄ Dr. Ulrike Just,"Gentzgasse 21/2/12, 1180 Wien",0664/15 19 241,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Christiane Pehamberger-Wolf,"Währinger Straße 132A/10, 1180 Wien",01/4707044,Hautärztin
Dr. Karoline Stur-Hofmann,"Anton-Frank-Gasse 5/3, 1180 Wien",01/4701721,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Theresa Dani,"Herbeckstraße 2/2/2, 1180 Wien",01/4704400 ,Hautärztin
Dr. Peri Bergmann-Caucig,"Colloredogasse 1, 1180 Wien",01 / 2350085,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Christine Hoffmann,"Weißdornweg 8, 1180 Wien",01/5812859,"Hautärztin | Hautärztin, Schwerpunkt: Ästhetische Medizin,Wahlärztin"
Dr. Brigitte Klein,"Antonigasse 1, 1180 Wien",01/478 79 02,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Sylvia Orasche,"Währingerstraße 84, 1180 Wien",01/4700506,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Petra Viznerova-Kräuter,"Leo-Slezak-Gasse 14/6, 1180 Wien",01/4060517,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Univ.Prof. Dr. Wolfgang Jurecka,"Heiligenstädter Straße 46-48, 1190 Wien",01/360660-5568,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Gabriele Menzinger,"Heiligenstädter Straße 113/1/3, 1190 Wien",01/367 62 66,"Hautärztin | Hautärztin, Angiologin"
Dr. Sylvia Holle-Robatsch,"Windhabergasse 11/3, 1190 Wien",0664/320 55 33,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Univ.Prof. Dr. Klemens Rappersberger,"Döblinger Hauptstrasse 22-24, 1190 Wien",01/369 66 76,"Hautarzt | Hautarzt, Humangenetiker, Angiologe,Wahlarzt"
Dr. Ulrike Blecha-Thalhammer,"Billrothstraße 63/Top 8, 1190 Wien",01/3681233,Hautärztin
Dr. Barbara Konrad,"Döblinger Hauptstraße 9/15, 1190 Wien",0676/511 73 96,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Doz. Dr. Friedrich Breier,"Billrothstraße 78, 1190 Wien",01/368 35 55 10,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Dagmara Ewa Loader,"Heiligenstädter Straße 46-48, 1190 Wien",01/360 66 8010,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Günther Rainer,"Sonnbergplatz 7, 1190 Wien",0650 / 860 86 01,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Tom Claus Pustelnik,"Obkirchergasse 41, 1190 Wien",01/328 15 10,Hautarzt
Assoc. Prof. Priv.Doz. Dr. Julia Valencak,"Heiligenstädter Straße 46-48 / 5. Stock, 1190 Wien",01/ 36 066 80 10,"Hautärztin | Hautärztin,Wahlärztin"
Dr. med. univ. Christian Fellenz,"Sieveringerstraße 36, 1190 Wien",01/9580855,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Marie-Theres Kasimir,"Heiligenstädter Straße 46-48 (Neubau vis-à-vis Privatklinik Döbling), 1190 Wien",0664/2005051,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Katharina Ponholzer,"Billrothstrasse 4/4, 1190 Wien",01/ 367 44 26,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Daniela Degen,"Weinberggasse 60/21/R01, 1190 Wien",01/3206167," Hautärztin | Praktische Ärztin, Hautärztin"
OA Dr. Peter Paul Ponholzer,"Billrothstraße 4, 1190 Wien",01/367 44 26,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Eveline Groiß,"Simmeringer Hauptstraße 107, 1110 Wien",01/749 37 94,"Hautärztin | Hautärztin, Angiologin"
Dr. Brigitte Niebauer,"Simmeringer Hauptstraße 106-108/1/2, 1110 Wien",01/7483300,Hautärztin
